name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,OTA_1_R1,OTA_1_R2,OTA_1_R3,OTA_2_R1,OTA_2_R2,OTA_2_R3,OTA_3_R1,OTA_3_R2,OTA_3_R3,OTA_4_R1,OTA_4_R2,OTA_4_R3,PTA_1_R1,PTA_1_R2,PTA_1_R3,PTA_2_R1,PTA_2_R2,PTA_2_R3,PTA_3_R1,PTA_3_R2,PTA_3_R3,PTA_4_R1,PTA_4_R2,PTA_4_R3
SCA-6_Chr8v1_21539,YO059,37.2,37.8,36.6,0.945,-0.5,0.76,-0.11,9.20E-01,1.00E+00,0.9998,13432,9.9,60.3,39.7,126.6,2.9,40.1,13.5,11.4,33.3,71.6,0,43.7,123.7,11.8,17.1,0,18.8,6.3,37,35.1,123.9,51.4,0,13.6
SCA-6_Chr8v1_21540,XYN1,3.1,2,4.1,1.549,-0.5,2.19,0.29,7.70E-01,1.00E+00,0.9998,13433,0,0,0,0,0,13.1,0,0,3.2,0,7.3,0,11.8,0,27.1,0,0,3.6,0,0,0,0,7.1,0
SCA-6_Chr8v1_21541,XYN1,32,28.2,35.7,1.332,-0.5,0.57,0.73,4.70E-01,1.00E+00,0.9998,13434,13.9,59.1,32.5,0,33.8,44.2,31.2,47.4,16.1,9.9,27.4,22.8,64.5,89,41.5,0,34.9,34,35.9,15.4,17.1,37.7,31,27.7
SCA-6_Chr8v1_21542,KNAP2,1138.3,1060.4,1216.2,1.162,-0.5,0.27,0.81,4.20E-01,1.00E+00,0.9998,13435,1624.6,976.3,1271.9,1533,995.1,1040.8,962.4,578.9,666.5,1187,977,911,3045.8,771.9,1066.3,858.2,1004,417.3,1547.3,967.7,1885.9,1109.9,1144.3,776.3
SCA-6_Chr8v1_21543,HAT22,85,93.4,76.5,0.784,-0.5,0.6,-0.59,5.60E-01,1.00E+00,0.9998,13436,84.1,113.6,68.6,104.1,57.3,66.2,92.6,24.7,67.7,228.5,138,76,225,0,15.3,0,85.8,38.5,116.6,30.7,183,43.7,92.5,86.4
SCA-6_Chr8v1_21544,SCA-6_Chr8v1_21544,86.4,86.4,86.4,0.902,-0.5,0.55,-0.27,7.90E-01,1.00E+00,0.9998,13437,26.7,44.1,65.9,24.5,126.4,80.1,32.3,153.7,90.3,28.4,275.1,88.8,35.5,116.4,64.1,0,59,166.6,39.2,61.4,35.2,60.8,216.1,182.8
SCA-6_Chr8v1_21545,BCAT2,33.5,30.3,36.7,1.158,-0.5,0.74,0.28,7.80E-01,1.00E+00,0.9998,13438,8.9,15.1,39.7,0,0,52.3,47.9,39.9,79.6,12.4,34.7,32.8,0,60.2,6.3,0,44.2,46.6,34.8,57.1,30.7,50.5,92,18.2
SCA-6_Chr8v1_21548,BCAT2,23.9,18.6,29.3,1.295,-0.5,1,0.37,7.10E-01,1.00E+00,0.9998,13439,1,0,0.9,0,0,8.2,63.5,54.1,49.5,0,23.8,22.8,0,10.5,33.4,0,50.9,7.2,54.9,108.6,64.8,16.3,4.1,0.5
SCA-6_Chr8v1_21549,RAX3,9.2,9.3,9,0.952,-0.5,0.98,-0.07,9.40E-01,1.00E+00,0.9998,13440,4,0,0.9,42.9,2.9,1.6,17.7,15.2,14,0,1.8,10.9,9.2,1.3,39.7,0,1.3,0,19.1,19.7,2.3,5.1,8.6,1.4
SCA-6_Chr8v1_21550,SCA-6_Chr8v1_21550,22.9,23.2,22.7,1.018,-0.5,0.76,0.03,9.70E-01,1.00E+00,0.9998,13441,15.8,8.1,22.6,0,48.5,4.1,8.3,18,21.5,22.2,63.1,46,0,15.7,17.1,0,40.2,48.4,0,28.5,15.9,42.8,31.5,32.3
SCA-6_Chr8v1_21551,CSCLA,15.5,15,16,1.168,-0.5,0.87,0.26,8.00E-01,1.00E+00,0.9998,13442,28.7,10.4,10.8,0,0,0,13.5,37,30.1,3.7,40.2,5.2,17.1,2.6,17.1,0,24.1,30.4,0,2.2,20.5,27.4,26.9,23.6
SCA-6_Chr8v1_21553,CGR2,6.5,5.4,7.6,4.617,-0.5,1.46,1.51,1.30E-01,1.00E+00,0.9998,13443,13.9,0,12.6,0,5.9,0,8.3,1.9,20.4,0,1.8,0,0,55,0,0,4,15.2,0,0,0,7.7,9.2,0
SCA-6_Chr8v1_21554,DNAJ,121.8,110.8,132.9,1.313,-0.5,0.33,1.18,2.40E-01,1.00E+00,0.9998,13444,94,129.9,89.4,165.3,182.3,72.8,164.4,75,78.5,156.9,99.6,20.9,344.7,61.5,164.2,145.9,116.6,79.7,162.6,88.9,135.3,111.3,125.6,58.7
SCA-6_Chr8v1_21555,SQE1,84.1,88.2,79.9,1.006,-0.5,0.48,0.02,9.90E-01,1.00E+00,0.9998,13445,179.2,55.7,154.4,65.3,98.5,161.1,69.7,33.2,29,103.8,77.7,31.3,68.4,91.6,160.6,0,88.5,144.2,79.6,50.5,39.8,66.8,69.1,100.1
SCA-6_Chr8v1_21556,SCA-6_Chr8v1_21556,6.1,7.6,4.6,1.484,-0.5,1.55,0.37,7.10E-01,1.00E+00,0.9998,13446,0,7,4.5,55.1,0,4.1,7.3,0,0,13.6,0,0,28.9,0,0,0,10.7,4.5,0,0,0,2.6,8.1,0
SCA-6_Chr8v1_21557,AVT6A,13,11.6,14.4,1.236,-0.5,1.06,0.29,7.70E-01,1.00E+00,0.9998,13447,0,0,34.3,0,0,15.5,19.8,7.6,17.2,27.2,0.9,16.6,34.2,0,29.8,0,33.5,26,0,20.8,0,6.9,13.7,7.7
SCA-6_Chr8v1_21558,CSLCC,389,541.5,236.4,0.608,-0.5,0.67,-1.07,2.80E-01,1.00E+00,0.9998,13448,395,793.1,297,3113,421.8,259.2,177.9,101.5,79.6,716.4,63.1,80.2,1084.1,128.2,272.4,0,244,131.6,160.3,66.9,527.5,114.8,33,74.6
SCA-6_Chr8v1_21559,BH074,92,119.5,64.4,0.649,-0.5,0.59,-1.06,2.90E-01,1.00E+00,0.9998,13449,109.9,230.7,84.9,494,192.5,85.9,55.1,7.6,18.3,116.1,18.3,20.9,315.8,68,72.2,0,57.6,17,61.7,19.7,78.4,52.2,15.8,15
SCA-6_Chr8v1_21561,ANT,367.1,370.8,363.4,1.129,-0.5,0.55,0.32,7.50E-01,1.00E+00,0.9998,13450,571.2,579.8,612.9,528.7,518.8,497.9,239.3,32.3,140.8,497.8,141.7,88.8,393.4,624.1,820,0,127.3,395.8,316.2,36.2,148.9,741.6,225.7,531.2
SCA-6_Chr8v1_21562,SCA-6_Chr8v1_21562,172.1,155.3,188.8,1.288,-0.5,0.37,0.98,3.30E-01,1.00E+00,0.9998,13451,146.5,122.9,188.7,49,45.6,67,211.2,353,209.6,158.1,202.9,109.7,98.7,34,157.9,66,210.4,205.1,294.9,365.3,200.1,325.4,138.8,169.6
SCA-6_Chr8v1_21563,RBP1,28.2,31,25.5,1.145,-0.5,0.73,0.27,7.90E-01,1.00E+00,0.9998,13452,32.7,56.8,37,16.3,0,31.9,70.8,15.2,15.1,76.6,19.2,0,64.5,0,29.8,0,63,22.4,58.3,32.9,8,6,14.2,7.3
SCA-6_Chr8v1_21564,GRF1,181.5,212.6,150.4,0.792,-0.5,0.49,-0.68,5.00E-01,1.00E+00,0.9998,13453,326.7,373.4,170.6,540.9,232.2,264.9,84.3,88.3,117.2,140.8,152.6,58.9,378.9,79.8,139.8,0,99.2,164.8,163.7,72.4,105.7,210.7,178.4,211
SCA-6_Chr8v1_21565,RRP1B,197.9,242.2,153.7,0.744,-0.5,0.35,-1.21,2.20E-01,1.00E+00,0.9998,13454,216.8,451.1,159.8,587.9,361.6,180.7,192.5,77.8,109.7,392.8,106.9,68.4,309.2,145.2,149.8,155.3,211.8,76.1,200.7,97.6,184.2,109.6,79.8,125.1
SCA-6_Chr8v1_21567,SCA-6_Chr8v1_21567,2.8,0.8,4.9,8.965,-0.5,2.32,1.36,1.70E-01,1.00E+00,0.9998,13455,0,0,0,0,0,0,0,7.6,0,0,1.8,0,0,0,0,0,20.1,0,23.5,11,0,0,0,3.6
SCA-6_Chr8v1_21568,PR40A,1104.6,1233.3,975.9,0.832,-0.5,0.26,-1.04,3.00E-01,1.00E+00,0.9998,13456,1543.4,1386.8,746.5,2188.3,1206.7,999.1,1211.1,888.2,1194.4,1679.8,659.8,1096.1,1063.1,1997.9,1224.2,406.1,869.9,428.1,1391.4,786.6,1342.5,972.9,647.2,580.3
SCA-6_Chr8v1_21569,SCA-6_Chr8v1_21569,10.1,13.3,6.9,0.502,-0.5,1.22,-0.81,4.20E-01,1.00E+00,0.9998,13457,0,1.2,0,20.4,25,0,9.4,26.6,19.4,0,30.2,27.5,0,0,30.7,0,0,5.4,0,4.4,0,18,14.2,10.5
SCA-6_Chr8v1_21570,KN7N,62,64,60,1.5,-0.5,1.04,0.56,5.70E-01,1.00E+00,0.9998,13458,67.3,214.5,147.1,75.5,23.5,94.8,14.6,0,0,130.9,0,0,235.5,209.3,74.9,0,41.6,33.1,24.7,0,27.3,31.7,13.7,28.2
SCA-6_Chr8v1_21572,K0930,68.4,60.6,76.1,1.102,-0.5,0.57,0.25,8.10E-01,1.00E+00,0.9998,13459,36.6,31.3,42.4,53.1,16.2,53.1,25,131,115,25.9,94.1,103.5,14.5,141.3,109.2,0,12.1,103.9,20.2,37.3,36.4,87.4,159.1,191.9
