name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,OTA_1_R1,OTA_1_R2,OTA_1_R3,OTA_2_R1,OTA_2_R2,OTA_2_R3,OTA_3_R1,OTA_3_R2,OTA_3_R3,OTA_4_R1,OTA_4_R2,OTA_4_R3,PTA_1_R1,PTA_1_R2,PTA_1_R3,PTA_2_R1,PTA_2_R2,PTA_2_R3,PTA_3_R1,PTA_3_R2,PTA_3_R3,PTA_4_R1,PTA_4_R2,PTA_4_R3
SCA-6_Chr3v1_08468,AGL8,193,26.7,359.3,12.559,6.8,0.51,7.17,7.60E-13,1.20E-08,0,0,26.7,2.3,7.2,0,94.1,5.7,6.2,47.4,4.3,32.1,58.5,36.1,134.2,353.3,270.6,872.5,343.1,430.8,185,568.3,234.2,278.3,463.1,177.8
SCA-6_Chr3v1_09040,SOC1,452.6,70.7,834.4,13.332,5.7,0.74,5.07,3.90E-07,6.30E-03,0.0021,0,350.5,0,0,0,164.6,17.2,35.4,106.3,8.6,86.5,24.7,55.1,734.2,969.5,1085.2,349.6,1325.7,857.1,1015.8,606.7,595.7,1262.3,603.9,607.2
SCA-6_Chr5v1_16210,LSH1,1002.6,1715.1,290.1,0.203,5.3,0.45,-5.09,3.70E-07,5.90E-03,0.0021,0,1276.1,2782.9,1038.1,6464.8,1841.7,1576.4,967.6,325.5,612.8,2154.2,602.3,939,682.8,133.5,507.9,4.5,229.2,144.2,322.9,197.5,295.6,402.5,360.4,200.1
SCA-6_Chr9v1_23823,RACD,13.9,24.7,3.1,0.063,4.5,0.82,-4.84,1.30E-06,2.10E-02,0.0052,0,68.3,5.8,29.8,30.6,16.2,12.3,25,3.8,14,11.1,48.4,31.3,0,2.6,0.9,0,1.3,0,1.1,0,0,4.3,10.7,16.4
SCA-6_Chr2v1_05915,SWT15,24.6,47.6,1.7,0.027,4.5,1.12,-4.66,3.10E-06,5.00E-02,0.0101,0,6.9,11.6,8.1,51,0,0,243.5,112.9,59.1,0,32,46,0,0,0,0,0,0.9,0,5.5,5.7,7.7,0,0
SCA-6_Chr7v1_19128,RFS1,147,58.7,235.3,4.521,4.5,0.48,4.56,5.20E-06,8.30E-02,0.0138,0,79.2,100.9,44.2,65.3,8.8,41.7,139.4,84.5,37.6,88.9,11,2.8,121,718.3,101.9,307,80.4,120,123.3,544.2,327.4,173.8,32.5,173.7
SCA-6_Chr10v1_28088,ANXD4,380.2,179.9,580.5,3.175,4.3,0.4,4.18,2.90E-05,4.70E-01,0.0668,0,210.9,234.2,121,118.4,147,264.9,331.9,241,18.3,222.3,86.8,161.9,361.8,983.9,1134,1266.3,522.8,1023.6,257.9,171.2,155.7,283.5,403.1,402
SCA-6_Chr5v1_14443,SELFP,6.5,13,0,0.014,4.3,1.53,-4.01,6.00E-05,9.60E-01,0.1063,1,0,35.9,33.4,0,19.1,13.9,0,0,11.8,24.7,9.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0
SCA-6_Chr6v1_18830,PER42,7732.3,10821.5,4643.2,0.378,4.3,0.35,-4.03,5.60E-05,9.00E-01,0.1063,1,9142.5,5468.4,19188.9,1945.4,3119,4870.6,3788.3,4191.5,16047.2,5402.7,16292.1,40400.9,1013.1,2943.8,3749.2,2608.1,1995.9,3232.1,2976.8,2238.1,3989,4774.3,14286.2,11911.3
SCA-6_Chr2v1_04032,TAM41,7.1,13.6,0.6,0.021,4.3,1.42,-3.92,9.00E-05,1.00E+00,0.1223,1,1,2.3,0.9,53.1,25,0.8,0,10.4,20.4,16.1,0,32.8,0,0,0,0,0,0,0,0,0,0,7.1,0
SCA-6_Chr5v1_13911,HSP11,5.6,11.3,0,0.019,4.3,1.46,-3.92,8.70E-05,1.00E+00,0.1223,1,8.9,7,0,69.4,0,4.9,7.3,16.1,7.5,0,7.3,7.1,0,0,0,0,0,0,0,0,0,0,0,0
SCA-6_Chr6v1_17728,PPA1,67.8,102.7,32.9,0.142,4.2,0.72,-3.91,9.10E-05,1.00E+00,0.1223,1,68.3,83.5,281.6,149,204.3,119.4,48.9,0,98.9,42,91.4,45.6,9.2,7.9,20.7,248.3,13.4,40.3,4.5,0,34.1,1.7,0,14.1
SCA-6_Chr3v1_08038,MFT,17,31,3.1,0.082,4.1,0.94,-3.84,1.20E-04,1.00E+00,0.1508,2,26.7,22,46,0,67.6,119.4,15.6,0.9,17.2,19.8,18.3,18,0,0,8.1,0,0,8.1,0,15.4,1.1,4.3,0,0
SCA-6_Chr2v1_04326,SCA-6_Chr2v1_04326,684.1,1038.7,329.5,0.345,4.1,0.4,-3.8,1.50E-04,1.00E+00,0.1669,2,1807.7,3349.9,1046.2,1208.5,1153.8,647.6,782.4,261.9,273.1,1319.2,147.1,466.6,859.1,307.5,462.8,209,336.4,223.9,390.2,99.8,612.7,184.1,140.3,127.8
SCA-6_Chr3v1_10458,CCD4,53.1,82.7,23.6,0.303,4.1,0.46,-3.72,2.00E-04,1.00E+00,0.2167,3,39.6,67.3,99.3,51,148.5,108.7,80.1,99.6,69.9,87.7,85.9,55.1,1.3,28.8,42.4,0,20.1,35.8,39.2,40.6,14.8,28.3,16.8,14.6
SCA-6_Chr10v1_27491,SCA-6_Chr10v1_27491,326.2,478.8,173.6,0.359,4.1,0.4,-3.68,2.30E-04,1.00E+00,0.2297,4,733.6,534.5,904.5,614.4,717.3,565,272.6,31.3,217.2,620.1,144.4,391.2,543.4,177.9,280.6,122.1,156.8,137.9,96.4,51.6,235.3,87.4,112.3,81
SCA-6_Chr5v1_16241,PLP2,125.7,44.3,207,4.997,4,0.64,3.6,3.10E-04,1.00E+00,0.2952,5,34.6,25.5,14.4,147,120.5,65.4,3.1,9.5,4.3,66.7,24.7,16.1,5.3,420,170.5,618.4,193,764.8,23.5,85.6,20.5,61.7,85.9,34.6
SCA-6_Chr1v1_02793,YUC10,88.8,51.5,126.1,2.498,4,0.37,3.58,3.40E-04,1.00E+00,0.3017,5,58.4,18.6,56.9,51,77.9,127.6,33.3,33.2,43,30.9,56.7,30.9,160.5,248.6,73.1,187.3,115.3,235.5,65,107.5,58,58.2,108.3,96
SCA-6_Chr1v1_02372,SCA-6_Chr1v1_02372,7.9,1.6,14.2,17.142,4,1.16,3.55,3.90E-04,1.00E+00,0.3295,6,4,0,0.9,0,0,0,0,0.9,12.9,0,0,0,0,36.6,34.3,0,8,27.8,7.8,8.8,33,2.6,4.6,6.8
SCA-6_Chr6v1_18676,ABKC,9.9,17.5,2.3,0.113,4,0.89,-3.53,4.10E-04,1.00E+00,0.3321,7,17.8,16.2,0.9,59.2,26.5,11.4,12.5,20.9,8.6,12.4,7.3,16.6,0,0,3.6,0,0,5.4,0,4.4,0,0.9,11.7,1.8
SCA-6_Chr7v1_19317,YJF5,8.1,1.4,14.7,23.193,4,1.33,3.41,6.60E-04,1.00E+00,0.5054,11,1,0,1.8,0,0,0,0,0,5.4,0,9.1,0,0,58.9,20.7,0,14.7,15.2,0,13.2,0,21.4,17.3,15
SCA-6_Chr6v1_18005,FLZ17,65.6,32.8,98.4,3.156,4,0.49,3.39,7.00E-04,1.00E+00,0.5091,11,49.5,19.7,35.2,0,22,31.9,76,34.2,26.9,24.7,67.6,5.7,44.7,266.9,54.1,188.5,30.8,117.3,67.3,106.4,26.1,111.3,95.1,72.8
SCA-6_Chr8v1_22141,EXTN,577.5,878,277,0.356,3.9,0.44,-3.36,7.70E-04,1.00E+00,0.517,12,766.2,1055.2,496.5,2265.9,1635.9,961.5,310.1,243.9,104.3,1817,158.1,721.6,494.7,140,371.7,219.3,725.2,265.1,164.8,27.4,320.6,349.4,129.1,116.4
SCA-6_Chr9v1_23373,C92C6,178.3,72.5,284.1,3.36,3.9,0.52,3.37,7.60E-04,1.00E+00,0.517,12,28.7,58,40.6,38.8,69.1,36,144.6,118.6,34.4,101.3,53,147.2,142.1,463.2,212.9,0,108.6,145.1,245.5,145.9,81.8,593.5,889.1,382
SCA-6_Chr10v1_26899,RCA1,138.4,190.8,86,0.429,3.9,0.37,-3.28,1.10E-03,1.00E+00,0.6731,17,150.5,284.1,476.6,124.5,111.7,58.9,47.9,198.3,163.4,53.1,250.4,369.8,139.5,40.6,85.7,82,92.5,86.9,25.8,74.6,131.9,56.5,110.8,105.1
SCA-6_Chr3v1_10250,GUN6,367.4,231.2,503.5,2.13,3.9,0.34,3.25,1.10E-03,1.00E+00,0.6731,17,224.7,133.3,431.5,147,104.4,222.4,128,112,308.5,132.2,468.8,362.2,314.4,783.7,596.3,192.2,343.1,1041.5,287,187.6,308.1,345.1,858.1,785
SCA-6_Chr7v1_20686,SCA-6_Chr7v1_20686,187.5,102.9,272.2,2.809,3.9,0.46,3.25,1.20E-03,1.00E+00,0.6731,18,64.3,62.6,163.4,55.1,72,102.2,18.7,205.9,172,64.2,184.6,69.8,21.1,634.6,281.5,232.4,154.1,980.6,75.1,257.8,146.6,122.5,120,239.7
SCA-6_Chr8v1_21963,BGA16,29.1,51.9,6.2,0.147,3.8,0.85,-3.25,1.20E-03,1.00E+00,0.6731,19,87.1,51,48.7,249,102.9,10.6,0,2.8,12.9,35.8,10.1,12.3,2.6,0,24.4,0,21.4,10.7,0,6.6,0,1.7,6.1,1.4
SCA-6_Chr4v1_10741,GLAK1,128.7,92,165.3,2.019,3.7,0.32,3.2,1.40E-03,1.00E+00,0.7581,22,54.4,34.8,75.8,49,97,132.5,84.3,130,223.6,102.5,95,25.2,128.9,264.3,200.3,118.8,182.3,172.8,144.6,300.6,114.8,114.8,119,122.8
SCA-6_Chr2v1_04773,HSR4,324.6,225.1,424.1,2.31,3.7,0.38,3.18,1.50E-03,1.00E+00,0.7643,23,206.9,250.5,115.5,745.1,120.5,181.5,376.6,201.2,174.2,179.1,106.9,42.7,724.9,174,272.4,179.1,768.1,174.6,794.9,636.3,1049.2,149.9,92,74.1
SCA-6_Chr3v1_08905,BIOF,145.7,216.4,75,0.306,3.7,0.54,-3.18,1.50E-03,1.00E+00,0.7643,24,222.7,339.7,258.2,485.8,183.7,210.1,114.4,49.3,187.1,248.3,179.1,118.7,331.6,0,135.3,113.9,32.2,52.8,49.3,3.3,21.6,54.8,24.4,80.5
SCA-6_Chr2v1_05591,COL12,10.1,12.2,7.9,0.04,3.7,1.48,-3.15,1.60E-03,1.00E+00,0.7698,25,3,5.8,13.5,0,0,17.2,1,16.1,11.8,0,0.9,76.9,0,73.3,0,0,0,0,0,21.9,0,0,0,0
SCA-6_Chr2v1_05890,LAX2,15,26.3,3.8,0.131,3.7,0.93,-3.15,1.60E-03,1.00E+00,0.7698,25,33.7,1.2,21.7,83.7,73.5,21.3,11.4,5.7,3.2,13.6,30.2,16.6,0,0,0,0,0,4.5,5.6,12.1,0,19.7,0,3.6
SCA-6_Chr6v1_19004,SCA-6_Chr6v1_19004,6.2,11.7,0.7,0.063,3.7,1.27,-3.14,1.70E-03,1.00E+00,0.7698,26,14.8,15.1,9.9,18.4,0,46.6,1,0,10.8,0,11,12.8,0,0,3.6,0,0,0.9,0,0,0,2.6,0,0.9
SCA-6_Chr9v1_23184,SCA-6_Chr9v1_23184,10.7,5.3,16,0.061,3.7,1.28,-3.16,1.60E-03,1.00E+00,0.7698,27,0,0,1.8,2,7.3,13.9,0,11.4,0,4.9,9.1,13.3,0,0,0,170.5,0,0,0,0,0,0,3.6,17.7
SCA-6_Chr3v1_07848,UFD1,47.5,30.5,64.5,2.259,3.7,0.38,3.09,2.00E-03,1.00E+00,0.8338,30,24.7,29,18.1,36.7,26.5,43.3,33.3,25.6,36.6,66.7,11,14.2,36.8,47.1,87.5,111.9,48.3,15.2,94.2,104.2,68.2,71.1,43.2,46.4
SCA-6_Chr3v1_10148,HSP83,71.1,112.7,29.6,0.279,3.6,0.59,-3.1,1.90E-03,1.00E+00,0.8338,31,58.4,53.3,66.8,124.5,135.2,363,289.2,99.6,37.6,13.6,42,68.8,17.1,0,25.3,0,80.4,34.9,39.2,35.1,73.9,16.3,22.9,9.6
SCA-6_Chr5v1_16760,PTR16,13.1,22.4,3.7,0.128,3.6,0.96,-3.1,1.90E-03,1.00E+00,0.8338,32,13.9,11.6,1.8,47,8.8,9.8,47.9,6.6,78.5,32.1,4.6,6.2,0,0,0,0,2.7,0.9,17.9,0,21.6,0,0,1.8
SCA-6_Chr10v1_27096,CFI,68.7,36,101.3,3.053,3.6,0.52,3.08,2.10E-03,1.00E+00,0.8595,34,51.5,17.4,105.6,0,0,21.3,30.2,25.6,71,11.1,76.8,21.8,56.6,189.7,98.3,288.5,49.6,60,58.3,49.4,130.7,71.1,94,70
SCA-6_Chr3v1_08848,PABN1,898.2,1128.1,668.4,0.627,3.6,0.22,-3.07,2.10E-03,1.00E+00,0.8595,34,962.3,1781.1,836.8,1471.8,1269.9,1269.8,1015.5,896.8,790.2,1661.3,560.2,1021.1,771,689.5,579.2,258.2,711.8,474.7,851,757,819.6,754.5,563.3,791.4
SCA-6_Chr8v1_22357,ARGI1,5.5,10.5,0.6,0.062,3.6,1.32,-3.03,2.40E-03,1.00E+00,0.9427,39,4,18.6,6.3,26.5,36.7,14.7,8.3,0,1.1,9.9,0,0,1.3,0,0.9,0,0,0,0,0,3.4,0,0,1.4
SCA-6_Chr1v1_00849,SCA-6_Chr1v1_00849,25.5,10.5,40.4,3.618,3.6,0.63,2.96,3.10E-03,1.00E+00,0.978,41,2,0,16.2,0,0,5.7,10.4,20.9,20.4,3.7,13.7,33.2,28.9,70.7,12.6,74.2,28.1,37.6,10.1,11,81.8,31.7,66.6,31.8
SCA-6_Chr1v1_03174,NAC71,10.6,4,17.2,7.45,3.6,0.97,2.99,2.80E-03,1.00E+00,0.978,42,0,19.7,2.7,0,0,3.3,0,6.6,4.3,7.4,3.7,0,32.9,66.7,3.6,0,9.4,17.9,3.4,0,48.9,8.6,8.1,6.4
SCA-6_Chr2v1_05419,EXOL5,383,590.9,175,0.339,3.5,0.52,-3,2.70E-03,1.00E+00,0.978,43,835.5,1073.7,922.6,1361.6,1167,547.8,253.9,49.3,79.6,617.6,97.8,84,444.7,151.8,226.4,0,158.2,111.1,218.6,59.2,457,181.6,30,61.9
SCA-6_Chr2v1_07034,RDR1,410.8,300.7,520.8,1.808,3.5,0.29,2.96,3.00E-03,1.00E+00,0.978,44,217.8,287.6,151.7,332.7,95.5,327.1,635.7,332.1,169.9,466.9,313.5,277.7,613.1,357.2,327.5,457.8,836.4,271.4,735.5,701.1,748,491.6,333,377.5
SCA-6_Chr3v1_09066,DRE1D,8.9,15.6,2.3,0.038,3.5,1.58,-2.98,2.90E-03,1.00E+00,0.978,45,1,49.9,0.9,0,0,0,10.4,26.6,23.7,0,0,74.5,11.8,0,12.6,0,0,2.7,0,0,0,0,0,0
SCA-6_Chr3v1_10144,RL321,6.7,12.8,0.5,0.057,3.4,1.39,-2.97,3.00E-03,1.00E+00,0.978,46,0,19.7,15.3,51,33.8,11.4,0,8.5,0,9.9,4.6,0,0,0,0,0,0,0.9,0,0,0,5.1,0,0
SCA-6_Chr3v1_10436,SCA-6_Chr3v1_10436,744.1,553.7,934.5,1.692,3.4,0.25,2.99,2.80E-03,1.00E+00,0.978,47,290.1,471.9,468.5,853.3,518.8,682.7,806.3,634.8,379.5,608.9,481.6,447.6,460.5,545.6,680.2,1569.2,1183.6,629.6,1262.5,1678.6,1031.1,722.8,837.8,613.1
SCA-6_Chr4v1_13343,SRG1,229.4,158.2,300.7,1.832,3.4,0.29,2.97,3.00E-03,1.00E+00,0.978,48,115.8,251.6,170.6,87.8,57.3,216.7,81.2,52.2,75.3,205,96.9,487.5,271,285.2,375.3,500.8,327.1,232,178.3,249,194.4,235.5,283.2,476.2
SCA-6_Chr5v1_15173,CNBP,12.2,18.7,5.7,0.094,3.3,1.16,-2.95,3.20E-03,1.00E+00,0.978,49,0,7,3.6,0,0,2.5,41.6,25.6,53.8,6.2,33.8,49.8,0,0,0,39.8,0,0,0,8.8,0,9.4,9.2,1.4
SCA-6_Chr8v1_22179,CESA6,2244.9,2668.5,1821.3,0.697,3.3,0.18,-2.96,3.10E-03,1.00E+00,0.978,50,2757.1,2747,2689.2,2180.1,2955.8,2887.9,2668.8,2026,2707,3279.4,2707.9,2415.8,2259,2021.4,1669.8,1011.8,1942.3,1761.6,1879.1,1008.3,2321.3,2186.4,1996.9,1797.4
SCA-6_Chr9v1_24371,BH035,332.7,209,456.5,2.168,3.3,0.38,2.95,3.20E-03,1.00E+00,0.978,51,130.7,85.8,193.2,42.9,54.4,148.8,348.6,556.1,340.8,151.9,310.7,143.8,127.6,218.5,588.2,693.4,321.7,652,601,631.9,347.9,441,574.5,280.2
SCA-6_Chr9v1_24641,LOX21,108.8,162.2,55.4,0.34,3.3,0.52,-2.98,2.90E-03,1.00E+00,0.978,52,105.9,92.8,107.4,330.7,75,159.4,112.4,146.1,248.3,79.1,154.4,335.1,59.2,134.8,101,0,20.1,86.9,26.9,4.4,58,92.5,23.9,57.3
SCA-6_Chr1v1_00001,CBSX3,867.8,813.3,922.3,1.152,3.2,0.34,0.6,5.50E-01,1.00E+00,0.9998,54,647.5,209.9,762.8,473.6,261.6,695,484.9,911,1170.7,527.4,2418.2,1196.7,296,709.1,1165.5,715.5,741.3,1437.4,556.1,1432.8,1025.4,1042.2,1064.5,881.9
SCA-6_Chr1v1_00002,NAPES,18.7,18.6,18.8,0.979,3.2,0.91,-0.03,9.70E-01,1.00E+00,0.9998,55,0,8.1,14.4,0,22,10.6,15.6,60.7,58.1,0,25.6,8.1,0,39.3,4.5,0,0,20.6,26.9,21.9,26.1,10.3,52.9,23.6
SCA-6_Chr1v1_00003,KN14E,795.2,872.3,718.1,0.864,3.2,0.26,-0.82,4.10E-01,1.00E+00,0.9998,56,1631.5,873.1,1153.7,545,1077.4,914.1,882.3,421.3,648.3,1093.1,527.3,700.2,1559.1,833.4,1010.4,284,639.4,510.5,888,441,577.5,903.5,460.6,509.8
SCA-6_Chr1v1_00005,AP3S,15.2,18.4,12,0.573,3.2,1.01,-0.8,4.20E-01,1.00E+00,0.9998,57,13.9,3.5,11.7,0,0,0,0,33.2,32.3,8.6,35.6,82.1,0,0,12.6,0,10.7,29.6,13.5,0,13.6,6.9,39.7,16.8
SCA-6_Chr1v1_00006,SBT16,4.7,5.1,4.4,0.906,3.2,1.55,-0.09,9.30E-01,1.00E+00,0.9998,58,8.9,10.4,0,0,0,0,0,0,9.7,0,9.1,22.8,2.6,0,0,0,0,17.9,0,0,13.6,9.4,6.1,2.7
SCA-6_Chr1v1_00009,DAT2D,82.3,71.1,93.5,1.221,3.2,0.46,0.63,5.30E-01,1.00E+00,0.9998,59,57.4,51,110.1,28.6,22,62.1,40.6,66.4,141.9,34.6,152.6,85.9,130.3,0,84.8,189.7,49.6,150.5,65,94.4,26.1,122.5,108.8,100.1
SCA-6_Chr1v1_00010,PILS3,17.8,18.3,17.4,0.905,3.2,0.98,-0.15,8.80E-01,1.00E+00,0.9998,60,17.8,9.3,12.6,0,13.2,0,20.8,7.6,28,0,33.8,76,0,0,6.3,0,0,16.1,13.5,16.5,0,33.4,53.9,69.6
SCA-6_Chr1v1_00014,ARID3,310.2,302.4,317.9,1.111,3.2,0.43,0.35,7.20E-01,1.00E+00,0.9998,61,347.5,272.5,203.1,540.9,408.6,210.9,283,247.7,294.6,407.6,215.7,197,784.1,573.1,246.3,0,357.9,228.4,348.7,203,392.2,324.6,181.5,175.1
SCA-6_Chr1v1_00015,PPP7,56.4,48.9,63.9,1.301,3.2,0.67,0.57,5.70E-01,1.00E+00,0.9998,62,70.3,41.7,79.4,0,30.9,75.2,20.8,71.2,48.4,8.6,81.3,58.4,9.2,86.4,61.3,0,0,94.9,24.7,102,114.8,75.4,101.2,96.4
SCA-6_Chr1v1_00016,SCA-6_Chr1v1_00016,3.3,2.8,3.8,1.112,3.1,2.03,0.08,9.40E-01,1.00E+00,0.9998,63,0,0,0,0,0,0,12.5,7.6,2.2,11.1,0,0,0,0,0,0,0,5.4,0,0,0,28.3,2,9.6
SCA-6_Chr1v1_00019,HMR2B,84.5,95.2,73.7,0.88,3.1,0.69,-0.26,7.90E-01,1.00E+00,0.9998,64,71.3,220.3,68.6,171.5,191.1,197,43.7,0,12.9,123.5,41.1,1.4,109.2,168.8,98.3,211.5,80.4,86,30.3,24.1,0,30,3.1,42.8
SCA-6_Chr1v1_00020,TPC11,34.5,27.6,41.5,1.356,3.1,0.71,0.62,5.30E-01,1.00E+00,0.9998,65,23.8,1.2,46.9,0,55.9,14.7,38.5,27.5,24.7,17.3,63.1,17.6,0,0,47.8,134.8,26.8,56.4,0,18.7,69.3,44.5,50.3,49.1
SCA-6_Chr1v1_00021,RRN3,88.7,97.6,79.8,0.818,3.1,0.42,-0.68,4.90E-01,1.00E+00,0.9998,66,141.6,131,53.3,224.5,95.5,15.5,76,93,68.8,150.7,85,36.1,9.2,149.2,65.9,184,135.4,77.9,44.8,29.6,80.7,89.9,40.2,51.4
SCA-6_Chr1v1_00022,PIRL4,34.9,35.3,34.5,0.942,3.1,0.66,-0.13,8.90E-01,1.00E+00,0.9998,67,13.9,16.2,27.1,85.7,0,39.2,37.5,28.5,30.1,39.5,46.6,59.8,51.3,0,25.3,0,13.4,48.4,39.2,15.4,31.8,67.7,74.2,46.8
SCA-6_Chr1v1_00023,IF62,3.3,4.7,2,0.626,3.1,2.25,-0.3,7.60E-01,1.00E+00,0.9998,68,0,11.6,0,0,0,15.5,0,0,0,18.5,11,0,0,0,22.6,0,0,0,0,0,0,0.9,0,0
SCA-6_Chr1v1_00024,IF62,193.7,140.9,246.5,1.356,3,0.5,0.88,3.80E-01,1.00E+00,0.9998,69,105.9,61.5,140.8,0,48.5,89.1,34.3,200.2,248.3,61.8,403.9,296.2,10.5,166.2,199.4,579.5,75.1,396.7,61.7,227.1,138.7,138.7,496.7,468
SCA-6_Chr1v1_00026,AAGAB,158.5,141,176,1.237,3,0.3,1.04,3.00E-01,1.00E+00,0.9998,70,138.6,135.7,117.4,47,45.6,109.6,163.4,177.5,233.3,100,263.2,160.9,252.6,160.9,154.3,273.8,140.7,104.8,150.2,185.4,260.3,149.9,152,127.3
SCA-6_Chr1v1_00027,SCA-6_Chr1v1_00027,108.6,105.7,111.6,1.111,3,0.43,0.35,7.20E-01,1.00E+00,0.9998,71,138.6,95.1,117.4,59.2,127.9,52.3,171.7,49.3,106.4,108.7,118.8,122.5,139.5,78.5,118.2,0,187.7,83.3,177.2,85.6,130.7,125.9,94.6,117.8
SCA-6_Chr1v1_00028,ATL80,11.3,13.4,9.2,0.516,3,1.36,-0.7,4.80E-01,1.00E+00,0.9998,72,0,0,0,0,33.8,0,0,36.1,9.7,8.6,35.6,36.6,0,0,0.9,0,0,20.6,0,8.8,0,22.3,15.8,41.4
SCA-6_Chr1v1_00029,MLO10,59,58.1,59.9,1.06,3,0.5,0.17,8.70E-01,1.00E+00,0.9998,73,34.6,81.2,72.2,26.5,63.2,23.7,93.6,114.8,54.8,44.5,51.2,37,52.6,31.4,16.2,0,37.5,44.8,105.4,82.3,131.9,51.4,74.7,90.5
SCA-6_Chr1v1_00030,SCA-6_Chr1v1_00030,279.9,267.5,292.3,1.158,3,0.33,0.65,5.20E-01,1.00E+00,0.9998,74,269.3,282.9,109.2,402.1,141.1,265.7,387,410.9,149.4,385.4,150.8,256.3,382.9,132.1,180.4,100.4,450.4,122.7,630.1,469.6,434.3,328.9,181.5,94.6
SCA-6_Chr1v1_00035,PILS5,30.4,24.1,36.7,1.265,3,0.89,0.38,7.00E-01,1.00E+00,0.9998,75,0,7,19.9,32.7,0,28.6,52,53.1,15.1,0,58.5,21.8,0,0,6.3,0,91.1,14.3,30.3,50.5,50,22.3,106.8,68.7
SCA-6_Chr1v1_00036,STY8,161.2,188.6,133.8,0.723,3,0.44,-1.07,2.80E-01,1.00E+00,0.9998,76,173.2,148.4,116.4,281.7,266,181.5,166.5,147.1,211.8,190.2,186.4,193.7,76.3,140,188.5,0,55,340.3,139,116.3,122.8,234.6,115.9,76.9
SCA-6_Chr1v1_00037,RP44A,347.9,313.6,382.2,1.194,3,0.2,1.31,1.90E-01,1.00E+00,0.9998,77,356.4,273.7,230.2,224.5,413,245.3,365.2,333.1,321.4,277.9,340,382.6,639.4,358.5,332,497.5,253.3,249.9,465.3,364.2,411.5,320.3,358.9,335.2
SCA-6_Chr1v1_00038,IRE1A,27.8,24.4,31.1,1.337,3,0.62,0.67,5.00E-01,1.00E+00,0.9998,78,7.9,16.2,20.8,0,10.3,22.9,10.4,34.2,72,33.3,43,21.4,2.6,19.6,39.7,0,28.1,48.4,43.7,45,30.7,52.2,29.5,34.1
SCA-6_Chr1v1_00039,GLR36,3.9,4.2,3.6,0.834,3,1.44,-0.18,8.60E-01,1.00E+00,0.9998,79,4.9,2.3,7.2,0,0,0,4.2,0,18.3,1.2,10.1,2.4,0,26.2,9.9,0,0,3.6,0,0,0,3.4,0,0.5
SCA-6_Chr1v1_00040,GLR36,204.8,216.2,193.4,0.885,3,0.47,-0.38,7.10E-01,1.00E+00,0.9998,80,207.9,80,213,0,25,125.9,253.9,356.8,293.5,96.3,354.6,587.2,230.2,263,169.6,38.9,122,190.8,114.4,176.6,175.1,188.4,324.3,327.9
SCA-6_Chr1v1_00042,PP160,25.5,23.1,27.9,1.28,2.9,0.9,0.4,6.90E-01,1.00E+00,0.9998,81,0,7,36.1,26.5,0,9.8,2.1,30.4,45.2,0,117.9,1.9,40.8,0,66.8,0,0,76.1,15.7,25.2,46.6,17.1,26.9,19.6
SCA-6_Chr1v1_00043,AVT3C,13.3,17.1,9.4,0.525,2.9,1.19,-0.78,4.30E-01,1.00E+00,0.9998,82,12.9,16.2,39.7,0,0,0,15.6,52.2,30.1,0,36.6,1.9,0,0,5.4,0,0,21.5,0,20.8,0,24.8,11.7,29.1
SCA-6_Chr1v1_00045,YHLA,404.1,405,403.3,0.986,2.9,0.2,-0.1,9.20E-01,1.00E+00,0.9998,83,508.9,323.5,353,324.6,302.8,293.5,465.1,469.7,327.9,542.2,458.8,489.4,540.7,358.5,256.2,380.7,331.1,304.5,581.9,414.7,414.9,439.3,462.1,354.7
SCA-6_Chr1v1_00046,SRPK,240.1,316.2,164,0.635,2.9,0.42,-1.57,1.20E-01,1.00E+00,0.9998,84,162.4,378,154.4,1665.7,348.3,171.7,187.3,72.1,123.6,292.7,82.3,155.7,252.6,155.7,157.9,177.4,293.6,70.7,117.7,134.9,252.4,63.4,144.9,146.9
SCA-6_Chr1v1_00047,SCA-6_Chr1v1_00047,65.6,91.5,39.7,0.542,2.9,0.5,-1.78,7.50E-02,1.00E+00,0.9998,85,57.4,87,45.1,293.9,158.7,61.3,103,98.7,64.5,80.3,32.9,15.7,81.6,69.3,57.7,0,73.7,15.2,34.8,7.7,37.5,48,32.5,18.2
SCA-6_Chr1v1_00048,MLH3,18.1,9.5,26.6,2.276,2.9,0.85,1.4,1.60E-01,1.00E+00,0.9998,86,4,5.8,6.3,0,0,24.5,8.3,15.2,20.4,23.5,4.6,1.9,30.3,39.3,16.2,152.5,6.7,19.7,17.9,29.6,0,6,0,1.4
SCA-6_Chr1v1_00049,SCA-6_Chr1v1_00049,42.6,37.5,47.7,1.175,2.9,0.57,0.41,6.90E-01,1.00E+00,0.9998,87,1,18.6,33.4,49,14.7,30.3,38.5,58.8,81.7,16.1,50.3,57.9,32.9,0,46,140.6,21.4,9,50.5,86.7,54.6,81.4,23.9,25
