name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Early_OTA_1_R1,Early_OTA_1_R2,Early_OTA_1_R3,Early_OTA_2_R1,Early_OTA_2_R2,Early_OTA_2_R3,Early_PTA_1_R1,Early_PTA_1_R2,Early_PTA_1_R3,Early_PTA_2_R1,Early_PTA_2_R2,Early_PTA_2_R3
SCA-6_Chr3v1_08468,AGL8,189,20.3,357.8,22.759,4.5,0.75,6.04,1.5e-09,2.1e-05,0,0,23.9,2.1,6.4,0,84.2,5.1,121.2,312.2,244.6,777.9,310.6,380.2
SCA-6_Chr10v1_28088,ANXD4,475.2,162.5,787.9,4.496,2.2,0.4,5.46,4.8e-08,6.8e-04,1e-04,0,188.3,208.4,107.4,103,131.5,236.4,326.8,869.6,1024.9,1129,473.3,903.5
SCA-6_Chr2v1_05419,EXOL5,518.3,873,163.6,0.214,-2.2,0.4,-5.52,3.4e-08,4.8e-04,1e-04,0,746.1,955.3,818.9,1184.8,1044,488.8,401.6,134.1,204.7,0,143.2,98
SCA-6_Chr6v1_17728,PPA1,92.3,134.1,50.5,0.112,-3.2,0.58,-5.45,5.1e-08,7.3e-04,1e-04,0,61,74.3,250,129.7,182.8,106.5,8.3,6.9,18.8,221.4,12.1,35.6
SCA-6_Chr5v1_16210,LSH1,1229.1,2202.7,255.4,0.153,-2.7,0.51,-5.27,1.4e-07,2.0e-03,2e-04,0,1139.4,2475.9,921.4,5625.4,1647.5,1406.6,616.7,118,459.1,4,207.5,127.3
SCA-6_Chr3v1_10237,SCA-6_Chr3v1_10237,104.4,184.2,24.6,0.079,-3.7,0.88,-4.16,3.1e-05,4.4e-01,0.0267,0,109.6,86.7,209.1,373,248.5,78.1,82,0,27.7,30.7,6.1,0.8
SCA-6_Chr9v1_23373,C92C6,99.8,40.1,159.4,4.734,2.2,0.54,4.19,2.8e-05,4.0e-01,0.0267,0,25.6,51.6,36.1,33.7,61.8,32.1,128.3,409.4,192.4,0,98.3,128.1
SCA-6_Chr10v1_27491,SCA-6_Chr10v1_27491,407.3,602.3,212.4,0.357,-1.5,0.37,-3.99,6.5e-05,9.2e-01,0.0388,0,655,475.6,802.9,534.7,641.7,504.1,490.7,157.3,253.6,108.9,142,121.7
SCA-6_Chr2v1_04326,SCA-6_Chr2v1_04326,861.6,1364.1,359.1,0.284,-1.8,0.45,-4.02,5.7e-05,8.1e-01,0.0388,0,1614.1,2980.3,928.7,1051.5,1032.2,577.8,775.9,271.8,418.3,186.3,304.6,197.6
SCA-6_Chr9v1_24189,TPS11,168.2,34.4,301.9,4.915,2.3,0.57,4,6.4e-05,9.1e-01,0.0388,0,11.5,30.9,29.6,65.7,18.4,50.3,46.3,65.9,47.3,1029.3,432,190.5
SCA-6_Chr1v1_00970,SCA-6_Chr1v1_00970,922,1455.8,388.2,0.275,-1.9,0.49,-3.82,1.3e-04,1.0e+00,0.0568,1,934.4,1574.3,518.4,2442.4,1748.8,1516.8,657.1,92.5,331.9,465.1,631,151.8
SCA-6_Chr2v1_04655,SCA-6_Chr2v1_04655,670.8,328.4,1013.3,2.718,1.4,0.38,3.83,1.3e-04,1.0e+00,0.0568,1,361.5,278.5,252.4,497.4,190.7,389.6,793.7,1932.4,412.6,1292.3,1336,313
SCA-6_Chr7v1_20565,SCA-6_Chr7v1_20565,454.3,110,798.7,5.943,2.6,0.67,3.86,1.1e-04,1.0e+00,0.0568,1,160.9,67.1,184.3,10.7,156.5,80.3,38,316.9,587.9,585.3,152.9,3111.2
SCA-6_Chr8v1_20880,AI5L5,484.8,295.6,674.1,2.428,1.3,0.33,3.83,1.3e-04,1.0e+00,0.0568,1,234.3,286.8,290.1,440.5,172.2,349.5,311.3,821.1,485.2,530.9,1185.6,710.6
SCA-6_Chr2v1_04104,EIF3B,313.2,456,170.3,0.439,-1.2,0.32,-3.76,1.7e-04,1.0e+00,0.068,1,531.3,401.3,426.3,424.5,645.6,307.2,174.7,157.3,219.3,0.7,196.6,273.5
SCA-6_Chr2v1_05664,UGPI7,109.8,130,89.6,0.285,-1.8,0.49,-3.73,1.9e-04,1.0e+00,0.071,1,69.8,192.9,100.2,149.2,151.2,116.7,17.8,25.4,52.2,359.9,41.3,41.1
SCA-6_Chr4v1_10713,SCA-6_Chr4v1_10713,5228.8,7524.3,2933.2,0.39,-1.4,0.37,-3.7,2.1e-04,1.0e+00,0.071,1,6671.3,8275.6,5418.1,11142.5,7830,5808.2,3834.4,3513.3,2412.7,3113.7,4006.9,718.5
SCA-6_Chr4v1_12415,SCA-6_Chr4v1_12415,4954.3,7822.3,2086.3,0.366,-1.5,0.39,-3.7,2.1e-04,1.0e+00,0.071,1,2882.6,6773.6,3620.9,19411,6675.6,7570.2,2547.5,1589,2135.5,324.5,4560.2,1361.1
SCA-6_Chr3v1_09264,AB10C,136.6,49.3,223.9,3.838,1.9,0.53,3.65,2.7e-04,1.0e+00,0.0838,2,65.4,19.6,60.9,8.9,76.3,64.9,154.5,239.4,206.3,426.8,189.3,127.3
SCA-6_Chr2v1_04346,RLK7,99.5,41.6,157.5,6.897,2.8,0.77,3.6,3.1e-04,1.0e+00,0.085,2,0,27.9,10.4,149.2,14.5,47.4,171.1,299.5,42.4,0,416.2,15.8
SCA-6_Chr3v1_08773,ICE1,262.4,331.7,193.2,0.358,-1.5,0.41,-3.61,3.1e-04,1.0e+00,0.085,2,247.5,245.5,213.9,333.9,621.9,327.6,161.6,52,160.6,500.6,98.3,185.8
SCA-6_Chr8v1_21523,RLK7,169.9,77.2,262.6,3.32,1.7,0.48,3.62,2.9e-04,1.0e+00,0.085,2,84.9,39.2,97.8,81.7,22.4,137.2,166.4,285.6,212.8,315.7,324,271.1
SCA-6_Chr6v1_17590,NU50A,603.8,877.4,330.2,0.389,-1.4,0.38,-3.55,3.8e-04,1.0e+00,0.0986,2,563.1,1439.1,608.2,806.4,1199.2,648.6,250.7,307.6,494.9,309.5,450.2,168.4
SCA-6_Chr1v1_01326,SCA-6_Chr1v1_01326,597.4,933.5,261.3,0.308,-1.7,0.48,-3.54,4.0e-04,1.0e+00,0.0998,2,970.6,687.1,468.7,1678.6,1245.2,550.8,728.4,130.7,336.8,0,234.2,137.5
SCA-6_Chr2v1_05892,TIF9,192.9,100.4,285.4,3.051,1.6,0.46,3.52,4.3e-04,1.0e+00,0.1018,3,122,90.8,117.8,167,34.2,70.8,284,422.1,386.5,207.2,212.4,200
SCA-6_Chr2v1_07310,SCA-6_Chr2v1_07310,803.8,373.6,1234,3.255,1.7,0.48,3.51,4.4e-04,1.0e+00,0.1018,3,292.6,149.6,651.4,186.5,514.1,447.2,236.5,1253.6,1218.2,1306.2,850.6,2538.9
SCA-6_Chr4v1_11473,ZHD8,213.5,327.9,99,0.355,-1.5,0.43,-3.46,5.4e-04,1.0e+00,0.1191,3,277.6,450.8,177.9,360.6,431.3,269.2,174.7,56.7,159,0,117.7,86.2
SCA-6_Chr3v1_10250,GUN6,336.6,187,486.2,2.903,1.5,0.45,3.43,6.1e-04,1.0e+00,0.121,3,200.7,118.6,383,127.9,93.4,198.4,284,692.7,539,171.4,310.6,919.3
SCA-6_Chr4v1_12530,RLF24,78.9,137.6,20.2,0.141,-2.8,0.83,-3.42,6.4e-04,1.0e+00,0.121,4,130.8,159.9,55.3,163.4,211.7,104.3,85.6,0,6.5,0,15.8,13.4
SCA-6_Chr7v1_20686,SCA-6_Chr7v1_20686,209,77,341.1,4.73,2.2,0.65,3.44,5.9e-04,1.0e+00,0.121,4,57.5,55.7,145,48,64.4,91.2,19,560.9,254.4,207.2,139.5,865.5
SCA-6_Chr8v1_21611,LBD38,113.4,180.4,46.4,0.248,-2,0.59,-3.41,6.4e-04,1.0e+00,0.121,4,192.7,119.7,148.2,255.8,188,178,155.7,25.4,31,0,12.1,54.5
SCA-6_Chr9v1_24371,BH035,242.3,97.2,387.5,3.299,1.7,0.5,3.41,6.5e-04,1.0e+00,0.121,4,116.7,76.3,171.5,37.3,48.6,132.8,115.3,193.1,531.6,618.2,291.2,575.4
SCA-6_Chr3v1_09762,EF100,260.4,155.6,365.3,2.563,1.4,0.4,3.39,6.9e-04,1.0e+00,0.1258,4,97.2,217.7,84.9,204.3,197.2,132.1,267.3,349.2,225.9,200.2,840.9,308.3
SCA-6_Chr6v1_17769,CHM1A,3131.5,4490.5,1772.6,0.445,-1.2,0.35,-3.36,7.7e-04,1.0e+00,0.135,5,3401.5,5475.8,2282,6460.3,6236.4,3086.9,3185.6,1724.3,1866.4,685.4,1651.5,1522.4
SCA-6_Chr1v1_01414,TTL3,139.3,220.9,57.8,0.299,-1.7,0.52,-3.34,8.4e-04,1.0e+00,0.1352,5,196.2,373.4,169.1,243.3,217,126.2,148.5,41.6,79.9,0,44.9,31.6
SCA-6_Chr1v1_02282,PATL5,349.7,551.5,147.9,0.306,-1.7,0.51,-3.34,8.2e-04,1.0e+00,0.1352,5,404.9,881,401.4,955.6,408.9,257.5,375.5,106.4,235.6,19.7,75.2,75.1
SCA-6_Chr6v1_18381,SCAR3,633.8,869.1,398.5,0.452,-1.1,0.34,-3.35,8.1e-04,1.0e+00,0.1352,5,778.8,1141,568.9,577.3,1508.1,640.6,514.5,318,488.4,344.9,317.9,407.1
SCA-6_Chr6v1_18790,TRPB1,75,21.6,128.3,6.122,2.6,0.79,3.33,8.8e-04,1.0e+00,0.1352,5,11.5,23.7,30.4,0,28.9,35,51.1,473,79.9,0,83.7,82.2
SCA-6_Chr8v1_22141,EXTN,695.8,1059.5,332.1,0.354,-1.5,0.45,-3.33,8.8e-04,1.0e+00,0.1352,5,684.2,938.8,440.7,1971.7,1463.4,858,446.8,123.7,335.9,195.5,656.5,234
SCA-6_Chr1v1_03698,UNE10,428.6,639.9,217.2,0.412,-1.3,0.39,-3.27,1.1e-03,1.0e+00,0.1428,6,513.6,592.1,419.1,1207.9,591.7,515.1,226.9,121.4,238.9,47.9,455,213.4
SCA-6_Chr2v1_04517,GGR,826.2,1121.5,530.9,0.549,-0.9,0.27,-3.25,1.1e-03,1.0e+00,0.1428,6,1023.6,1159.5,865.4,1023.1,1466.1,1191.4,527.6,615.2,648.2,120.2,730.5,543.8
SCA-6_Chr2v1_05710,SCA-6_Chr2v1_05710,491.5,738.4,244.6,0.331,-1.6,0.49,-3.27,1.1e-03,1.0e+00,0.1428,6,677.1,895.4,362.2,1282.5,748.2,464.7,444.4,127.2,393.8,233.1,205.1,64
SCA-6_Chr2v1_06991,PPA3,90.8,10.2,171.4,6.779,2.8,0.84,3.28,1.0e-03,1.0e+00,0.1428,6,20.3,18.6,16,0,3.9,2.2,4.8,173.5,56.3,669,49.8,75.1
SCA-6_Chr3v1_08088,Y3795,162.6,246.8,78.3,0.386,-1.4,0.42,-3.26,1.1e-03,1.0e+00,0.1428,6,217.5,312.6,173.1,316.2,288,173.6,117.6,114.5,41.6,0,109.2,86.9
SCA-6_Chr4v1_11605,NTF2,82.8,116.3,49.2,0.165,-2.6,0.8,-3.26,1.1e-03,1.0e+00,0.1428,6,164.4,190.8,97.8,55.1,138.1,51.8,45.2,0,95.4,81.8,2.4,70.3
SCA-6_Chr4v1_11988,SCA-6_Chr4v1_11988,402.3,178.8,625.9,3.68,1.9,0.58,3.25,1.1e-03,1.0e+00,0.1428,7,190.9,45.4,365.4,39.1,234,197.7,198.4,993.4,338.4,714.3,229.3,1281.3
SCA-6_Chr5v1_16704,AGDP1,97,146.7,47.2,0.352,-1.5,0.46,-3.28,1.1e-03,1.0e+00,0.1428,7,196.2,141.3,141.8,67.5,198.5,135,78.4,24.3,73.4,0,43.7,63.2
SCA-6_Chr9v1_22970,Y6689,284.1,390.2,177.9,0.464,-1.1,0.34,-3.29,1.0e-03,1.0e+00,0.1428,7,374.8,498.3,287.7,410.3,473.4,296.9,244.8,170,154.1,164.1,184.4,150.2
SCA-6_Chr9v1_23139,A70,752.7,1088.3,417.2,0.446,-1.2,0.36,-3.25,1.2e-03,1.0e+00,0.1428,7,684.2,2100.4,586.5,1234.5,890.2,1033.8,468.2,442.9,558.5,325.2,513.3,195.2
SCA-6_Chr1v1_03848,FLZ3,682.2,420.8,943.5,2.279,1.2,0.37,3.23,1.2e-03,1.0e+00,0.147,7,471.2,223.9,562.5,362.4,336.6,568.3,585.8,759.8,714.3,862.7,1391.8,1346.9
SCA-6_Chr1v1_01556,RHM1,647.6,896.9,398.1,0.479,-1.1,0.33,-3.21,1.3e-03,1.0e+00,0.1549,8,1000.6,1106.9,653.8,627,1408.2,585.1,652.3,337.7,500.6,165.9,377.4,354.9
SCA-6_Chr3v1_08848,PABN1,821.6,1122.7,520.4,0.538,-0.9,0.28,-3.19,1.4e-03,1.0e+00,0.1634,8,859.2,1584.6,742.8,1280.7,1136,1133,696.3,609.4,523.5,230.2,644.3,418.9
SCA-6_Chr6v1_18161,INT2,165.6,84.4,246.9,2.87,1.5,0.48,3.16,1.6e-03,1.0e+00,0.1797,10,52.2,41.3,93.7,92.4,81.5,145.2,76,337.7,161.4,258.3,366.5,281.4
SCA-6_Chr7v1_19796,JA2L,1282,555.1,2008.9,3.183,1.7,0.53,3.15,1.7e-03,1.0e+00,0.1835,10,347.4,115.5,152.2,1223.8,365.5,1126.5,501.4,1334.5,387.3,2134.9,6651,1044.2
SCA-6_Chr3v1_09398,ATHB7,100.2,22.6,177.8,5.189,2.4,0.76,3.14,1.7e-03,1.0e+00,0.186,10,8.8,47.5,26.4,0,10.5,42.3,35.6,39.3,119,489.6,328.8,54.5
SCA-6_Chr8v1_21958,NAC2,2860.6,2172.2,3549,1.812,0.9,0.27,3.13,1.7e-03,1.0e+00,0.186,10,2179,1557.7,1777.2,2289.6,2483.8,2746.1,3493.4,3662.5,3274.6,1656.3,6021.2,3186.2
SCA-6_Chr1v1_00711,WIH1,198.6,286,111.2,0.434,-1.2,0.4,-3.04,2.4e-03,1.0e+00,0.2303,13,263.4,169.2,231.6,305.5,465.5,280.9,181.8,130.7,110.1,41.7,115.3,87.7
SCA-6_Chr2v1_07034,RDR1,318.5,208.6,428.4,2.285,1.2,0.39,3.03,2.4e-03,1.0e+00,0.2303,13,194.5,255.8,134.6,289.5,85.5,291.8,553.7,315.7,296,408.1,757.2,239.5
SCA-6_Chr4v1_12734,SCA-6_Chr4v1_12734,412.5,564.6,260.3,0.456,-1.1,0.37,-3.04,2.4e-03,1.0e+00,0.2303,14,637.3,584.9,367,662.5,765.2,370.6,455.1,156.1,320.4,211.9,239.1,179.4
SCA-6_Chr4v1_12904,IP5P7,117.2,178.4,56,0.345,-1.5,0.51,-3.04,2.4e-03,1.0e+00,0.2303,14,214.8,168.2,150.6,252.2,160.4,124,134.3,28.9,87.2,0,48.5,37.2
SCA-6_Chr4v1_12945,APS1,400,235.8,564.4,2.432,1.3,0.42,3.06,2.2e-03,1.0e+00,0.2303,14,332.4,144.4,205.1,230.9,209.1,292.6,187.7,1042,617.2,498.4,457.5,583.3
SCA-6_Chr5v1_14079,KN5B,161.4,239.1,83.8,0.352,-1.5,0.5,-3.03,2.5e-03,1.0e+00,0.2303,14,251,302.3,155.4,248.7,319.5,157.6,207.9,37,148.4,0,46.1,63.2
SCA-6_Chr6v1_18830,PER42,4398.4,6481.7,2315.1,0.379,-1.4,0.46,-3.03,2.4e-03,1.0e+00,0.2303,15,8163.4,4865.1,17032.4,1692.8,2790.1,4346.1,914.9,2602,3388.7,2325.3,1806.8,2852.7
SCA-6_Chr7v1_19128,RFS1,132.5,50.3,214.8,3.74,1.9,0.62,3.06,2.2e-03,1.0e+00,0.2303,15,70.7,89.8,39.3,56.8,7.9,37.2,109.3,634.9,92.1,273.7,72.8,105.9
SCA-6_Chr1v1_00954,UBP3,293,204.2,381.8,2.097,1.1,0.35,3.02,2.5e-03,1.0e+00,0.2334,15,236.9,172.3,278,183,131.5,223.3,457.5,632.6,350.6,147.6,348.3,354.1
SCA-6_Chr3v1_10273,SCA-6_Chr3v1_10273,222.2,326.1,118.2,0.446,-1.2,0.39,-3.01,2.6e-03,1.0e+00,0.2334,15,240.4,546.8,224.4,330.4,381.3,233.5,143.8,115.6,170.4,0.7,169.9,109.1
SCA-6_Chr1v1_02881,PPAN,268.3,382.9,153.7,0.372,-1.4,0.48,-3,2.7e-03,1.0e+00,0.2341,16,254.6,371.4,226.8,744.3,460.2,240,246,97.1,214.4,201.3,95.9,67.2
SCA-6_Chr3v1_09040,SOC1,437.1,79.2,794.8,28.77,4.8,1.61,3.01,2.6e-03,1.0e+00,0.2341,16,312.9,0,0,0,147.3,15.3,663,856.9,980.9,311.7,1200.1,756.4
SCA-6_Chr8v1_21160,IQD32,1704.2,2224.2,1184.3,0.559,-0.8,0.28,-3,2.7e-03,1.0e+00,0.2341,16,1981,2792.6,1433.5,2790.5,2599.5,1748.1,1474.6,1325.3,1081.2,1010.6,1287.5,926.4
SCA-6_Chr5v1_16471,SCA-6_Chr5v1_16471,469.2,692.2,246.2,0.416,-1.3,0.42,-2.98,2.9e-03,1.0e+00,0.2457,17,640.9,1207,546.5,598.6,823.1,337.1,531.1,337.7,264.2,19.7,166.2,158.1
SCA-6_Chr4v1_11997,SCA-6_Chr4v1_11997,151.1,223.3,78.8,0.328,-1.6,0.54,-2.97,3.0e-03,1.0e+00,0.2491,18,181.2,206.3,143.4,326.8,311.6,170.7,188.9,17.3,99.5,0,37.6,129.6
SCA-6_Chr5v1_14751,CCNB1,348.3,473.6,223.1,0.447,-1.2,0.39,-2.95,3.2e-03,1.0e+00,0.2602,19,521.5,619,491.2,341,525.9,342.9,417.1,188.5,317.2,180.1,94.7,140.7
SCA-6_Chr9v1_22784,SCA-6_Chr9v1_22784,233,120.7,345.3,3.257,1.7,0.58,2.95,3.2e-03,1.0e+00,0.2602,19,133.5,53.6,238,71.1,72.3,155.4,73.7,506.5,397.9,45.7,142,905.8
SCA-6_Chr9v1_23991,SCA-6_Chr9v1_23991,14225.5,9357.7,19093.2,1.77,0.8,0.28,2.95,3.1e-03,1.0e+00,0.2602,19,8519.7,7758.8,7638.4,14307.8,7058.2,10863.5,8491,19227.1,18742.4,34821.1,17734.8,15543.1
SCA-6_Chr5v1_16241,PLP2,191,60.1,321.9,4.761,2.3,0.77,2.94,3.3e-03,1.0e+00,0.2615,20,30.9,22.7,12.8,127.9,107.8,58.4,4.8,371.2,154.1,551.4,174.7,675
SCA-6_Chr2v1_05129,LRR2,174,64.5,283.5,3.586,1.8,0.63,2.91,3.6e-03,1.0e+00,0.2805,21,69.8,16.5,100.2,21.3,53.9,125.5,29.7,241.7,354.7,503.9,152.9,418.1
SCA-6_Chr6v1_18575,TSJT1,261.8,105.7,418,3.932,2,0.68,2.91,3.6e-03,1.0e+00,0.2805,22,11.5,48.5,67.3,145.7,53.9,307.2,36.8,82.1,203.8,944.9,717.2,523.3
SCA-6_Chr1v1_02040,SCA-6_Chr1v1_02040,382.7,555.9,209.4,0.406,-1.3,0.45,-2.87,4.0e-03,1.0e+00,0.2837,22,421.7,717,236.4,833.1,702.1,425.3,330.3,118,165.5,173.2,381,88.5
SCA-6_Chr1v1_02729,EFTM,755.8,1068.9,442.7,0.424,-1.2,0.43,-2.86,4.3e-03,1.0e+00,0.2837,22,810.6,1491.7,560.9,1312.7,1647.5,590.2,1001.7,320.3,434.6,306.6,358,234.8
SCA-6_Chr2v1_07054,SF3A1,738,980.1,496,0.546,-0.9,0.3,-2.9,3.8e-03,1.0e+00,0.2837,23,996.2,1438.1,802.9,811.8,902,929.5,633.3,401.3,657.2,314.6,572.8,396.8
SCA-6_Chr3v1_08222,SCA-6_Chr3v1_08222,105.5,40.7,170.3,2.628,1.4,0.48,2.9,3.7e-03,1.0e+00,0.2837,23,60.1,14.4,41.7,30.2,60.5,37.2,139,128.4,110.9,485.6,52.2,105.9
SCA-6_Chr3v1_08223,DDR4,240.4,339.2,141.6,0.422,-1.2,0.44,-2.86,4.3e-03,1.0e+00,0.2837,23,344.7,459.1,198.7,392.6,362.9,277.2,225.8,65.9,208.7,122,150.5,76.7
SCA-6_Chr3v1_08658,KAD4,725.2,961,489.4,0.52,-0.9,0.33,-2.87,4.2e-03,1.0e+00,0.2837,24,1303.8,1165.7,609.8,886.4,1159.7,640.6,836.5,367.8,476.2,284.3,373.7,597.6
SCA-6_Chr3v1_09915,GAE3,229.8,273.3,186.2,0.37,-1.4,0.5,-2.86,4.2e-03,1.0e+00,0.2837,24,193.6,278.5,109.8,619.9,294.5,143.7,139,52,96.2,647.8,135.9,46.6
SCA-6_Chr5v1_15373,RMR41,434.2,312.6,555.9,1.827,0.9,0.3,2.86,4.2e-03,1.0e+00,0.2837,24,211.3,440.5,306.9,396.1,274.8,245.9,413.5,555.1,556.9,575.5,702.6,532
SCA-6_Chr5v1_16134,GL113,492.4,256.5,728.2,2.504,1.3,0.46,2.88,4.0e-03,1.0e+00,0.2837,24,318.2,133.1,201.1,268.2,215.6,402.7,139,584,543.9,1188.6,776.6,1137.4
SCA-6_Chr5v1_16313,PR4B,4398.8,2325.7,6472,2.166,1.1,0.39,2.88,4.0e-03,1.0e+00,0.2837,25,1978.3,1641.3,2968.7,1801.1,2285.2,3279.5,1475.8,4721.8,4655.8,13479.8,5039.5,9459.1
SCA-6_Chr9v1_22882,RC22,86.5,22,150.9,4.639,2.2,0.77,2.86,4.2e-03,1.0e+00,0.2837,25,21.2,7.2,56.9,0,26.3,20.4,17.8,94.8,48.9,429.7,47.3,267.2
SCA-6_Chr9v1_23259,TOPB1,147.7,223.9,71.6,0.367,-1.4,0.5,-2.88,4.0e-03,1.0e+00,0.2837,25,325.3,125.9,126.6,225.6,445.7,94.1,101,24.3,125.6,0,91,87.7
SCA-6_Chr9v1_24113,CANB1,153.2,231.1,75.3,0.378,-1.4,0.49,-2.88,4.0e-03,1.0e+00,0.2837,26,236.9,251.7,169.9,133.2,411.6,183.1,48.7,97.1,75.8,0,46.1,184.2
SCA-6_Chr3v1_09780,DSP8,148.9,93.7,204.1,2.561,1.4,0.48,2.85,4.4e-03,1.0e+00,0.2861,26,71.6,54.7,113.8,56.8,97.3,167.8,97.4,290.3,215.3,20.1,321.6,279.8
SCA-6_Chr1v1_00617,MYB73,939.5,1332.4,546.7,0.507,-1,0.35,-2.83,4.6e-03,1.0e+00,0.3006,28,1149.2,2459.4,858.9,1607.5,1113.7,805.5,831.8,676.5,556.1,76.4,780.3,358.9
SCA-6_Chr5v1_16379,SCA-6_Chr5v1_16379,137.4,211.8,63.1,0.33,-1.6,0.57,-2.83,4.7e-03,1.0e+00,0.3006,28,151.2,200.1,89.7,357,351.1,121.8,172.3,27.8,62,0,59.5,56.9
SCA-6_Chr8v1_21615,SCA-6_Chr8v1_21615,4448.7,3123.4,5773.9,2.001,1,0.35,2.83,4.7e-03,1.0e+00,0.3006,28,3294.5,1405.1,4487,2064,2653.4,4836.4,3647.8,7667.3,5642.5,3392.9,6723.8,7569.2
SCA-6_Chr1v1_03150,CATB2,550.8,294.1,807.5,2.627,1.4,0.49,2.82,4.8e-03,1.0e+00,0.3035,29,239.6,166.1,489.6,158.1,194.6,516.5,197.2,395.5,968.7,927.3,1038.7,1317.7
SCA-6_Chr2v1_05720,SCA-6_Chr2v1_05720,612.2,373.9,850.4,2.212,1.1,0.41,2.82,4.9e-03,1.0e+00,0.3035,29,283.8,188.8,414.3,259.3,353.7,743.4,451.5,665,617.2,1011.7,1283.8,1073.4
SCA-6_Chr2v1_06984,MA656,653.4,881.1,425.6,0.514,-1,0.34,-2.8,5.2e-03,1.0e+00,0.3035,29,802.6,771.7,748.4,742.5,1209.7,1011.9,613.1,176.9,533.3,203.1,552.1,475.1
SCA-6_Chr4v1_10741,GLAK1,112.4,65.7,159.1,2.58,1.4,0.49,2.8,5.2e-03,1.0e+00,0.3035,30,48.6,30.9,67.3,42.6,86.8,118.2,116.4,233.6,181,106,165,152.6
SCA-6_Chr4v1_12927,SCA-6_Chr4v1_12927,832,480.4,1183.6,2.405,1.3,0.45,2.8,5.1e-03,1.0e+00,0.3035,30,384.5,266.2,763.6,259.3,307.7,901,404,984.1,1696.8,1171.4,958.6,1886.8
SCA-6_Chr6v1_18192,G2OX,97.1,26.8,167.4,5.992,2.6,0.92,2.81,5.0e-03,1.0e+00,0.3035,30,1.8,20.6,9.6,0,35.5,93.4,7.1,166.5,31.8,203.5,402.9,192.9
SCA-6_Chr9v1_22839,CAP2,106.7,175.2,38.3,0.25,-2,0.71,-2.8,5.1e-03,1.0e+00,0.3035,31,178.6,174.3,91.3,280.6,211.7,114.5,65.4,0,70.1,0,59.5,34.8
SCA-6_Chr9v1_23853,SCA-6_Chr9v1_23853,324.6,451.3,197.9,0.387,-1.4,0.49,-2.8,5.2e-03,1.0e+00,0.3035,31,623.2,805.7,247.6,120.8,699.5,210.8,178.2,183.9,289.5,279.5,98.3,158.1
SCA-6_Chr2v1_05721,SCA-6_Chr2v1_05721,233.9,94.4,373.4,3.725,1.9,0.68,2.79,5.3e-03,1.0e+00,0.3054,31,103.4,36.1,160.3,0,61.8,205,272.1,420.9,212.8,475,434.4,425.3
SCA-6_Chr1v1_00788,PCKA,345.4,175.1,515.7,2.514,1.3,0.48,2.78,5.5e-03,1.0e+00,0.3084,32,193.6,86.7,299.7,71.1,134.1,265.6,133.1,362,615.6,880.2,501.2,602.3
SCA-6_Chr1v1_02900,RS4,258.8,134.2,383.4,3.284,1.7,0.62,2.78,5.4e-03,1.0e+00,0.3084,32,164.4,88.7,303.7,51.5,93.4,103.6,53.5,427.9,268.3,0,159,1392
SCA-6_Chr5v1_16479,EDL15,189.6,114.1,265.1,2.307,1.2,0.43,2.78,5.5e-03,1.0e+00,0.3084,33,148.5,51.6,118.6,124.3,86.8,154.7,363.6,351.6,207.1,259.4,142,267.2
SCA-6_Chr1v1_03802,SYGM2,840.3,1108.8,571.8,0.427,-1.2,0.44,-2.77,5.5e-03,1.0e+00,0.3099,33,876,1575.3,794,1451.2,1372.7,583.7,1093.2,141.1,525.1,874,447.8,349.4
SCA-6_Chr1v1_03396,SCA-6_Chr1v1_03396,753.5,381.9,1125.1,3.128,1.6,0.59,2.77,5.6e-03,1.0e+00,0.312,34,282,58.8,1067.3,161.6,131.5,590.2,259,1273.3,1343.8,835.6,992.6,2046.4
SCA-6_Chr8v1_21873,SCA-6_Chr8v1_21873,501.6,812.9,190.3,0.288,-1.8,0.65,-2.76,5.7e-03,1.0e+00,0.3139,34,330.6,998.6,152.2,2401.5,579.9,414.4,551.3,100.6,170.4,195.8,83.7,40.3
SCA-6_Chr8v1_21169,FPP4,804.8,1082.9,526.6,0.527,-0.9,0.34,-2.75,6.0e-03,1.0e+00,0.3261,36,1121.8,1349.4,880.6,973.4,1000.6,1171.7,1012.4,303,572.4,238.6,586.1,447.4
SCA-6_Chr5v1_13870,OPS,473.3,660.6,286.1,0.522,-0.9,0.34,-2.74,6.2e-03,1.0e+00,0.3317,37,608.2,875.8,541.7,740.7,765.2,431.9,404,366.6,447.6,0,309.4,188.9
SCA-6_Chr1v1_00061,DSK2A,184.7,92.9,276.5,2.956,1.6,0.57,2.73,6.4e-03,1.0e+00,0.3327,37,158.2,15.5,177.9,39.1,64.4,102.1,65.4,233.6,374.3,333.6,218.4,433.9
SCA-6_Chr10v1_28017,SIP11,287.2,192.4,382,2.229,1.2,0.42,2.73,6.4e-03,1.0e+00,0.3327,38,196.2,103.2,344.5,200.7,184.1,125.5,221,558.6,629.5,141,219.6,522.5
SCA-6_Chr6v1_18137,YCV6,660.2,855.5,464.9,0.548,-0.9,0.32,-2.72,6.5e-03,1.0e+00,0.3327,38,1167.7,891.3,511.2,920.1,1072.9,569.8,570.3,485.7,513.7,425.3,419.9,374.7
