name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Early_OTA_1_R1,Early_OTA_1_R2,Early_OTA_1_R3,Early_OTA_2_R1,Early_OTA_2_R2,Early_OTA_2_R3,Early_PTA_1_R1,Early_PTA_1_R2,Early_PTA_1_R3,Early_PTA_2_R1,Early_PTA_2_R2,Early_PTA_2_R3
SCA-6_Chr10v1_27307,KINUC,56.2,57.5,54.9,1.082,0.1,0.65,0.18,8.6e-01,1.0e+00,1,7553,29.2,53.6,72.9,10.7,101.2,77.3,105.8,39.3,65.2,0,55.8,63.2
SCA-6_Chr10v1_27310,SCA-6_Chr10v1_27310,46.5,65.3,27.6,0.571,-0.8,0.73,-1.1,2.7e-01,1.0e+00,1,7554,61.9,53.6,24,202.5,28.9,21.2,11.9,43.9,40,0,49.8,19.8
SCA-6_Chr10v1_27313,FLD,16.7,28.2,5.1,0.221,-2.2,1.43,-1.53,1.3e-01,1.0e+00,1,7555,61.9,28.9,44.1,0,6.6,27.7,13.1,0,0,0,12.1,5.5
SCA-6_Chr10v1_27317,SCA-6_Chr10v1_27317,50.1,38.5,61.8,1.74,0.8,0.86,0.93,3.5e-01,1.0e+00,1,7556,46.9,44.4,21.6,79.9,5.3,32.8,231.7,17.3,77.5,0,26.7,17.4
SCA-6_Chr10v1_27318,SCA-6_Chr10v1_27318,48.1,56.3,39.8,1.077,0.1,0.98,0.11,9.1e-01,1.0e+00,1,7557,30.1,20.6,10.4,202.5,39.4,35,89.1,0,47.3,0,76.4,26.1
SCA-6_Chr10v1_27319,SCA-6_Chr10v1_27319,25.9,13.7,38.1,3.571,1.8,1.37,1.34,1.8e-01,1.0e+00,1,7558,0,22.7,3.2,0,27.6,28.5,101,69.4,0,0,24.3,34
SCA-6_Chr10v1_27321,U1131,59.6,66.5,52.8,1.099,0.1,0.67,0.2,8.4e-01,1.0e+00,1,7559,37.1,81.5,24,156.3,59.2,40.9,118.8,74,51.4,0,53.4,19
SCA-6_Chr10v1_27322,U1131,67.6,85.8,49.5,0.695,-0.5,0.87,-0.6,5.5e-01,1.0e+00,1,7560,68.1,84.6,61.7,161.6,64.4,74.4,160.4,0,46.5,0,76.4,13.4
SCA-6_Chr10v1_27323,SCA-6_Chr10v1_27323,25.4,15.9,35,3.247,1.7,1.37,1.24,2.1e-01,1.0e+00,1,7561,9.7,0,18.4,0,52.6,14.6,0,116.8,22.8,0,15.8,54.5
SCA-6_Chr10v1_27327,SCA-6_Chr10v1_27327,14.3,12,16.6,1.448,0.5,1.51,0.35,7.2e-01,1.0e+00,1,7562,9.7,15.5,19.2,0,0,27.7,8.3,0,9.8,0,15.8,65.6
