name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Late_OTA_3_R1,Late_OTA_3_R2,Late_OTA_3_R3,Late_OTA_4_R1,Late_OTA_4_R2,Late_OTA_4_R3,Late_PTA_3_R1,Late_PTA_3_R2,Late_PTA_3_R3,Late_PTA_4_R1,Late_PTA_4_R2,Late_PTA_4_R3
SCA-6_Chr1v1_01655,SCA-6_Chr1v1_01655,22.6,19.3,26,1.107,0.1,1,0.15,8.8e-01,1.0e+00,0.9998,1431,11.8,31.9,43.3,0,10.4,18.2,0,26.5,30.7,11.4,42.8,44.8
SCA-6_Chr1v1_01657,Y4757,89,98.4,79.6,0.82,-0.3,0.37,-0.79,4.3e-01,1.0e+00,0.9998,1432,122.5,120.5,93.5,96.1,82.2,75.9,73.4,45.8,111.9,77.8,75.9,92.7
SCA-6_Chr1v1_01659,MCC21,186.5,216.4,156.7,0.719,-0.5,0.39,-1.22,2.2e-01,1.0e+00,0.9998,1433,245.1,120.5,188.2,361.2,120,263.4,207.2,153.1,111.9,203,170,94.8
SCA-6_Chr1v1_01661,SCA-6_Chr1v1_01661,6.9,11.6,2.1,0.209,-2.3,1.57,-1.43,1.5e-01,1.0e+00,0.9998,1434,0,5,8.2,21.7,0.9,33.7,3.9,0,0,2.8,0,6.1
SCA-6_Chr1v1_01662,MCC21,467.1,533.8,400.3,0.768,-0.4,0.38,-1,3.2e-01,1.0e+00,0.9998,1435,451.3,318.8,474.6,1083.5,394.9,479.8,374.5,266.4,674.3,352.9,279,455
SCA-6_Chr1v1_01664,SCA-6_Chr1v1_01664,143,140.3,145.7,1.184,0.2,0.65,0.38,7.1e-01,1.0e+00,0.9998,1436,232.1,275,166,6.2,123.8,38.5,104.2,288.1,125.3,61.7,143.2,151.8
SCA-6_Chr1v1_01665,RL273,89,90.7,87.4,1.006,0,0.48,0.02,9.9e-01,1.0e+00,0.9998,1437,35.3,91.7,105.2,103.9,170,37.9,113.3,66.3,56,77.8,94.6,116.2
SCA-6_Chr1v1_01666,SCL23,139.5,138.4,140.5,1.236,0.3,0.56,0.55,5.8e-01,1.0e+00,0.9998,1438,139,193.3,181.2,21.7,257,38.5,142.9,258,53.3,152.7,138.4,97.8
SCA-6_Chr1v1_01667,SCA-6_Chr1v1_01667,12.1,11.8,12.4,1.611,0.7,1.31,0.53,6.0e-01,1.0e+00,0.9998,1439,0,6,44.4,14,6.6,0,25.7,14.5,0,12.3,12.3,9.7
SCA-6_Chr1v1_01668,SCA-6_Chr1v1_01668,1099.7,1050.3,1149.1,1.107,0.1,0.3,0.48,6.3e-01,1.0e+00,0.9998,1440,1472.8,938.5,964.5,1099,698.1,1129.1,1673.1,1510.6,1431.3,909.6,723.6,646.6
SCA-6_Chr1v1_01669,SCA-6_Chr1v1_01669,94.3,104.8,83.9,0.782,-0.4,0.39,-0.9,3.7e-01,1.0e+00,0.9998,1441,73.1,71.7,87.7,49.6,139.8,206.8,50.2,57.9,90.6,90.1,99.9,114.6
SCA-6_Chr1v1_01670,GATP1,248.9,229.1,268.8,1.126,0.2,0.28,0.62,5.3e-01,1.0e+00,0.9998,1442,176.7,217.2,254.8,170.5,304.2,251.1,266.4,255.6,253.2,164.1,357,316.4
SCA-6_Chr1v1_01671,ZDH17,236.4,205.3,267.5,1.255,0.3,0.4,0.81,4.2e-01,1.0e+00,0.9998,1443,67.2,90.7,256,196.9,326.9,294.4,214.9,196.5,229.2,294,341.5,329.1
