name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Late_OTA_3_R1,Late_OTA_3_R2,Late_OTA_3_R3,Late_OTA_4_R1,Late_OTA_4_R2,Late_OTA_4_R3,Late_PTA_3_R1,Late_PTA_3_R2,Late_PTA_3_R3,Late_PTA_4_R1,Late_PTA_4_R2,Late_PTA_4_R3
SCA-6_Chr3v1_09040,SOC1,466.8,59.5,874,17.092,4.1,0.43,9.45,3.4e-21,5.1e-17,0,0,40.1,111.6,9.4,108.5,25.5,62,1166,666.7,698.3,1398.1,634.9,680.2
SCA-6_Chr3v1_08468,AGL8,192.4,33.8,351,9.713,3.3,0.53,6.15,7.5e-10,1.1e-05,0,0,7.1,49.8,4.7,40.3,60.5,40.6,212.4,624.5,274.5,308.3,486.9,199.2
SCA-6_Chr2v1_05915,SWT15,47.1,90.6,3.5,0.026,-5.3,1.13,-4.64,3.6e-06,5.4e-02,0.0179,0,275.7,118.6,64.3,0,33.1,51.8,0,6,6.7,8.5,0,0
SCA-6_Chr6v1_18722,NES2,197.5,104,291.1,2.455,1.3,0.31,4.18,2.9e-05,4.4e-01,0.0955,0,96.6,63.8,54.9,79.1,79.4,250.1,212.4,172.4,171.9,243.8,586.3,359.7
SCA-6_Chr9v1_24462,KN14T,7.5,14.7,0.2,0.016,-6,1.43,-4.16,3.2e-05,4.8e-01,0.0955,0,11.8,22.9,8.2,17.1,3.8,24.6,1.3,0,0,0,0,0
SCA-6_Chr3v1_09066,DRE1D,12.4,24.9,0,0.007,-7.1,1.84,-3.86,1.1e-04,1.0e+00,0.2154,1,11.8,27.9,25.7,0,0,83.9,0,0,0,0,0,0
SCA-6_Chr3v1_10458,CCD4,58.7,88.7,28.7,0.337,-1.6,0.41,-3.87,1.1e-04,1.0e+00,0.2154,2,90.7,104.6,76,110.1,88.8,62,45,44.6,17.3,31.3,17.6,16.3
SCA-6_Chr8v1_22575,ARAD1,10.8,18.9,2.8,0.026,-5.3,1.35,-3.89,1.0e-04,1.0e+00,0.2154,2,2.4,18.9,33.9,4.7,25.5,27.8,0,0,0,0,12.8,4.1
SCA-6_Chr3v1_07953,NACK1,29.6,21.7,37.6,50.264,5.7,1.5,3.78,1.6e-04,1.0e+00,0.2274,2,0,9,0,120.9,0,0,16.7,0,48,59.8,11.8,89.2
SCA-6_Chr5v1_16210,LSH1,705.8,1081.1,330.5,0.316,-1.7,0.44,-3.77,1.7e-04,1.0e+00,0.2274,2,1095.8,341.7,666.3,2703.2,622.6,1056.9,370.7,217,346.5,445.8,378.9,224.2
SCA-6_Chr9v1_23160,HSF30,9.7,18.9,0.4,0.019,-5.7,1.51,-3.81,1.4e-04,1.0e+00,0.2274,3,23.6,11,35.1,12.4,0.9,30.5,2.6,0,0,0,0,0
SCA-6_Chr7v1_19128,RFS1,163.2,68.9,257.5,5.475,2.5,0.66,3.73,1.9e-04,1.0e+00,0.239,3,157.9,88.7,40.9,111.6,11.3,3.2,141.6,598,383.8,192.6,34.2,194.6
SCA-6_Chr7v1_19620,AT18F,84.1,114.6,53.7,0.256,-2,0.53,-3.7,2.1e-04,1.0e+00,0.2486,3,124.9,136.5,137.9,48.1,124.7,115.4,12.9,36.2,20,12.3,136.3,104.4
SCA-6_Chr1v1_02812,GRXS6,8,16,0,0.01,-6.6,1.84,-3.57,3.5e-04,1.0e+00,0.298,4,35.3,0,2.3,27.9,5.7,25.1,0,0,0,0,0,0
SCA-6_Chr2v1_06913,TRNK1,211.2,122.5,300,2.453,1.3,0.36,3.59,3.3e-04,1.0e+00,0.298,4,130.8,92.7,187,102.3,90.7,131.5,459.5,326.7,465.1,276,155,117.7
SCA-6_Chr5v1_13694,IN80D,29.7,10.8,48.6,5.419,2.4,0.68,3.57,3.5e-04,1.0e+00,0.298,5,25.9,14.9,3.5,12.4,5.7,2.7,59.2,18.1,102.6,71.1,16.6,23.9
SCA-6_Chr5v1_15173,CNBP,21.9,38.6,5.2,0.093,-3.4,0.96,-3.57,3.6e-04,1.0e+00,0.298,5,47.1,26.9,58.5,7.8,35,56.1,0,9.6,0,10.4,9.6,1.5
SCA-6_Chr9v1_22663,FA32A,17.2,28.9,5.6,0.126,-3,0.84,-3.56,3.8e-04,1.0e+00,0.298,5,38.9,24.9,16.4,35.7,10.4,47,1.3,2.4,0,11.4,9.1,9.2
SCA-6_Chr9v1_24640,LOX21,26.8,44,9.7,0.072,-3.8,1.05,-3.6,3.2e-04,1.0e+00,0.298,6,24.7,48.8,50.3,55.8,29.3,55,0,4.8,0,47.4,5.9,0
SCA-6_Chr10v1_27477,DRL4,604.6,418.8,790.5,2.018,1,0.29,3.5,4.6e-04,1.0e+00,0.3072,6,500.8,301.9,402.1,641.7,413.8,252.2,1096.5,824.6,801,575.8,740.7,704.1
SCA-6_Chr2v1_05719,PB27A,35,55.2,14.8,0.256,-2,0.56,-3.52,4.3e-04,1.0e+00,0.3072,6,54.2,58.8,49.1,24.8,40.6,103.7,14.2,27.7,9.3,9.5,15,13.2
SCA-6_Chr5v1_13925,SCA-6_Chr5v1_13925,16.9,31,2.9,0.022,-5.5,1.57,-3.52,4.3e-04,1.0e+00,0.3072,7,7.1,33.9,17.5,0,83.1,44.4,0,16.9,0,0,0,0.5
SCA-6_Chr7v1_20504,KN14Q,70.5,117.4,23.6,0.189,-2.4,0.69,-3.5,4.7e-04,1.0e+00,0.3072,7,31.8,176.3,195.2,45,51,205.2,32.2,19.3,12,51.2,23.5,3.1
SCA-6_Chr9v1_24161,SCA-6_Chr9v1_24161,139.6,235.5,43.7,0.174,-2.5,0.73,-3.46,5.3e-04,1.0e+00,0.3342,8,448.9,11,143.8,581.3,86.9,141.1,72.1,71.1,76,24.7,2.7,15.8
SCA-6_Chr2v1_04773,HSR4,366.5,201.8,531.2,2.752,1.5,0.44,3.33,8.6e-04,1.0e+00,0.3964,10,426.5,211.2,189.4,224.8,110.5,48.1,912.5,699.2,1230.1,166,96.7,83
SCA-6_Chr2v1_07157,PPR41,14.5,23.7,5.2,0.076,-3.7,1.11,-3.35,8.1e-04,1.0e+00,0.3964,10,46,19.9,18.7,17.1,11.3,29.4,5.1,0,0,0,22.4,3.6
SCA-6_Chr3v1_09118,GENL2,40.8,58.8,22.8,0.229,-2.1,0.63,-3.36,7.7e-04,1.0e+00,0.3964,11,47.1,35.9,51.4,55.8,48.2,114.4,2.6,13.3,2.7,35.1,25.1,58.1
SCA-6_Chr4v1_10878,CLCB,8.3,0.8,15.8,28.639,4.8,1.43,3.38,7.2e-04,1.0e+00,0.3964,11,3.5,0,1.2,0,0,0,32.2,1.2,21.3,9.5,28.9,2
SCA-6_Chr4v1_12876,SCA-6_Chr4v1_12876,50.2,30.7,69.7,3.467,1.8,0.54,3.34,8.4e-04,1.0e+00,0.3964,11,67.2,26.9,49.1,21.7,17.9,1.6,106.8,79.6,134.6,63.6,24.6,9.2
SCA-6_Chr5v1_13884,SCA-6_Chr5v1_13884,12.7,18.2,7.3,0.064,-4,1.19,-3.33,8.7e-04,1.0e+00,0.3964,12,9.4,16.9,8.2,15.5,35,24,0,2.4,0,0,9.1,32.1
SCA-6_Chr6v1_18830,PER42,11620.2,15873.1,7367.3,0.412,-1.3,0.38,-3.37,7.6e-04,1.0e+00,0.3964,12,4290.1,4400.5,17450.1,6779.7,16841.4,45477.1,3417.1,2459.3,4676.4,5288.1,15018.9,13344
SCA-6_Chr7v1_19758,CB3,2311.4,3149,1473.9,0.449,-1.2,0.34,-3.35,8.0e-04,1.0e+00,0.3964,13,2110.3,2611.2,5218.6,1337.7,2407.1,5208.9,1079.8,1281.5,1336.7,1211.3,1132.5,2801.8
SCA-6_Chr9v1_24641,LOX21,123.5,197.8,49.2,0.254,-2,0.59,-3.35,8.2e-04,1.0e+00,0.3964,13,127.3,153.4,270,99.2,159.7,377.3,30.9,4.8,68,102.4,25.1,64.2
SCA-6_Chr1v1_02058,SYNC2,12.2,20.6,3.9,0.085,-3.6,1.08,-3.28,1.0e-03,1.0e+00,0.4023,14,7.1,9,10.5,38.8,16.1,42.2,0,0,0,5.7,8,9.7
SCA-6_Chr10v1_27169,LBD1,33.5,16.9,50.2,3.486,1.8,0.55,3.25,1.1e-03,1.0e+00,0.4023,14,34.2,15.9,21,4.7,15.1,10.2,63.1,53,52,67.3,44.4,21.4
SCA-6_Chr3v1_07575,PP134,12.8,21,4.6,0.044,-4.5,1.38,-3.28,1.0e-03,1.0e+00,0.4023,14,14.1,11,2.3,0,17,81.8,0,0,0,0,3.7,23.9
SCA-6_Chr3v1_08905,BIOF,106.4,169.2,43.7,0.245,-2,0.62,-3.27,1.1e-03,1.0e+00,0.4023,15,129.6,51.8,203.4,311.6,185.2,133.6,56.6,3.6,25.3,60.7,25.7,90.2
SCA-6_Chr4v1_12505,XTH2,1214,1630,798.1,0.275,-1.9,0.56,-3.31,9.2e-04,1.0e+00,0.4023,15,377,2176.8,1740.7,362.7,3793,1329.5,213.6,297.8,291.9,468.6,1369.2,2147.6
SCA-6_Chr5v1_14294,ATCA7,28.7,39.6,17.7,0.119,-3.1,0.95,-3.25,1.1e-03,1.0e+00,0.4023,16,25.9,92.7,21,18.6,53.8,25.6,0,16.9,0,5.7,66.8,16.8
SCA-6_Chr5v1_15596,AMYB,313.1,409.2,217,0.329,-1.6,0.49,-3.26,1.1e-03,1.0e+00,0.4023,16,411.2,273,120.4,728.5,285.3,636.9,56.6,30.1,104,209.6,497,404.5
SCA-6_Chr6v1_16791,SECAA,11.3,19.2,3.3,0.068,-3.9,1.18,-3.28,1.0e-03,1.0e+00,0.4023,16,18.9,22.9,12.9,38.8,20.8,1.1,0,2.4,0,1.9,10.7,5.1
SCA-6_Chr9v1_22635,ASR3,6.3,12.6,0,0.014,-6.2,1.88,-3.3,9.8e-04,1.0e+00,0.4023,17,5.9,0,9.4,34.1,10.4,15.5,0,0,0,0,0,0
SCA-6_Chr9v1_23883,LOR12,24.7,37.4,12.1,0.141,-2.8,0.87,-3.26,1.1e-03,1.0e+00,0.4023,17,50.7,45.8,35.1,18.6,26.5,47.6,0,8.4,0,13.3,39,11.7
SCA-6_Chr2v1_05591,COL12,11.9,19.8,4,0.015,-6.1,1.89,-3.22,1.3e-03,1.0e+00,0.4185,18,1.2,16.9,12.9,0,0.9,86.6,0,24.1,0,0,0,0
SCA-6_Chr2v1_07107,PER11,110,57.2,162.7,3.228,1.7,0.52,3.22,1.3e-03,1.0e+00,0.4185,19,35.3,83.7,116.9,69.8,13.2,24.6,326.9,191.7,170.6,90.1,83.4,113.6
SCA-6_Chr3v1_08809,SCA-6_Chr3v1_08809,380.3,578.9,181.8,0.214,-2.2,0.69,-3.21,1.3e-03,1.0e+00,0.4185,19,175.6,892.7,818.3,14,574.4,998.2,50.2,384.6,36,68.3,354.3,197.7
SCA-6_Chr6v1_18368,MYBF,14.3,3.3,25.2,29.89,4.9,1.52,3.22,1.3e-03,1.0e+00,0.4185,20,0,0,0,0,1.9,18.2,47.6,13.3,70.6,18,0.5,1.5
SCA-6_Chr9v1_23373,C92C6,269.3,112.2,426.4,2.928,1.5,0.48,3.21,1.3e-03,1.0e+00,0.4205,20,163.8,124.5,37.4,127.1,54.8,165.6,281.9,160.3,96,657.3,934.7,428
SCA-6_Chr1v1_02866,SCA-6_Chr1v1_02866,7.2,2.6,11.9,22.658,4.5,1.43,3.16,1.6e-03,1.0e+00,0.4906,24,0,6,0,9.3,0,0,18,8.4,13.3,12.3,11.8,7.6
SCA-6_Chr4v1_12474,DCTP1,17,6.2,27.8,9.142,3.2,1.02,3.14,1.7e-03,1.0e+00,0.4966,25,11.8,0,16.4,0,7.6,1.6,37.3,12.1,40,0,36.3,41.3
SCA-6_Chr6v1_18017,SCA-6_Chr6v1_18017,12,21.6,2.5,0.068,-3.9,1.24,-3.14,1.7e-03,1.0e+00,0.4966,25,25.9,26.9,5.8,0,14.2,56.6,0,7.2,0,2.8,2.7,2
SCA-6_Chr1v1_00075,DTX45,9.3,13.2,5.5,0.033,-4.9,1.57,-3.13,1.8e-03,1.0e+00,0.4996,26,4.7,3,37.4,4.7,9.4,19.8,0,12.1,0,20.9,0,0
SCA-6_Chr3v1_08724,HSD2,16.3,24,8.5,0.035,-4.8,1.55,-3.12,1.8e-03,1.0e+00,0.4996,26,14.1,1,47.9,14,17.9,49.2,0,0,0,50.3,0,1
SCA-6_Chr8v1_21670,SCA-6_Chr8v1_21670,30.7,47.8,13.7,0.095,-3.4,1.09,-3.12,1.8e-03,1.0e+00,0.4996,27,17.7,33.9,59.6,48.1,125.6,1.6,0,13.3,0,2.8,40.1,26
SCA-6_Chr4v1_12328,SCA-6_Chr4v1_12328,8.9,2.3,15.4,11.629,3.5,1.14,3.1,1.9e-03,1.0e+00,0.5267,29,1.2,9,1.2,1.6,0.9,0,12.9,10.8,44,12.3,3.2,9.2
SCA-6_Chr10v1_27246,WAV3,72.8,45.9,99.6,2.593,1.4,0.45,3.09,2.0e-03,1.0e+00,0.534,30,57.7,69.7,62,40.3,33.1,12.8,108.1,86.8,115.9,129.9,49.7,107
SCA-6_Chr2v1_07470,ACDH,8.7,2.8,14.6,78.76,6.3,2.04,3.08,2.1e-03,1.0e+00,0.534,30,0,0,0,0,0,16.6,48.9,12.1,18.7,0,0,8.2
SCA-6_Chr3v1_08106,CCB3,43.6,61.3,26,0.241,-2.1,0.66,-3.08,2.0e-03,1.0e+00,0.534,31,34.2,60.8,46.8,21.7,53.8,150.7,6.4,19.3,0,24.7,29.4,75.9
SCA-6_Chr10v1_27530,NADAP,14.5,25.4,3.5,0.029,-5.1,1.66,-3.07,2.1e-03,1.0e+00,0.5357,32,35.3,5,5.8,82.2,0,24,1.3,0,20,0,0,0
SCA-6_Chr2v1_05363,PUM7,36.5,19.1,53.9,8.835,3.1,1.02,3.07,2.1e-03,1.0e+00,0.5357,32,82.5,5,18.7,0,8.5,0,117.1,14.5,113.3,65.4,0,13.2
SCA-6_Chr1v1_00342,VPS39,8.8,14.8,2.7,0.01,-6.7,2.17,-3.06,2.2e-03,1.0e+00,0.5414,33,36.5,6,1.2,0,0,45.4,0,0,0,16.1,0,0
SCA-6_Chr3v1_09585,BH071,7.4,0.8,13.9,31.033,5,1.62,3.06,2.2e-03,1.0e+00,0.5423,34,0,2,0,3.1,0,0,0,20.5,25.3,25.6,0.5,11.7
SCA-6_Chr2v1_06266,NLRC3,12.9,18.3,7.5,0.06,-4,1.33,-3.05,2.3e-03,1.0e+00,0.5499,35,0,20.9,21,26.4,20.8,20.8,0,0,0,2.8,22.4,19.9
SCA-6_Chr5v1_13727,NS1BA,39.4,24.4,54.4,4.052,2,0.66,3.04,2.4e-03,1.0e+00,0.5572,36,36.5,11,44.4,15.5,37.8,1.1,131.3,61.5,22.7,74,6.9,30.1
SCA-6_Chr3v1_10436,SCA-6_Chr3v1_10436,885.7,626.4,1145.1,1.904,0.9,0.31,3.03,2.4e-03,1.0e+00,0.5664,37,913.2,666.5,412.7,764.2,497.9,503.9,1449.2,1844.5,1208.8,800.6,880.8,686.8
SCA-6_Chr3v1_08038,MFT,10.4,16.9,3.8,0.059,-4.1,1.36,-3.01,2.6e-03,1.0e+00,0.5936,39,17.7,1,18.7,24.8,18.9,20.3,0,16.9,1.3,4.7,0,0
SCA-6_Chr5v1_14385,ERG24,21.9,24.9,18.9,0.141,-2.8,0.94,-3.01,2.7e-03,1.0e+00,0.5964,40,15.3,11,28.1,15.5,35.9,43.8,0,6,0,0.9,48.6,57.6
SCA-6_Chr1v1_00108,Y1607,20.9,33,8.8,0.165,-2.6,0.9,-2.9,3.7e-03,1.0e+00,0.6073,41,46,3,44.4,49.6,27.4,27.8,11.6,0,2.7,2.8,25.1,10.7
SCA-6_Chr1v1_00427,ST14,8.3,12.2,4.3,0.03,-5.1,1.76,-2.88,4.0e-03,1.0e+00,0.6073,42,1.2,5,5.8,48.1,13.2,0,0,0,0,0,8,17.8
SCA-6_Chr1v1_00462,PP277,13.3,4,22.5,14.336,3.8,1.31,2.92,3.4e-03,1.0e+00,0.6073,43,1.2,21.9,0,0,0,1.1,28.3,3.6,54.6,11.4,11.2,26
SCA-6_Chr1v1_00686,SCA-6_Chr1v1_00686,8.7,15.9,1.6,0.027,-5.2,1.82,-2.88,3.9e-03,1.0e+00,0.6073,43,11.8,13.9,14,0,55.7,0,0,0,0,0,2.7,6.6
SCA-6_Chr1v1_00693,RL261,21.6,25.5,17.7,0.076,-3.7,1.28,-2.91,3.6e-03,1.0e+00,0.6073,44,1.2,22.9,10.5,6.2,100.1,12.3,6.4,0,0,0,68.4,31.6
SCA-6_Chr1v1_01343,KPL,8.5,16.1,0.9,0.042,-4.6,1.54,-2.97,3.0e-03,1.0e+00,0.6073,44,5.9,0,21,31,0,39,0,1.2,0,0.9,1.6,1.5
SCA-6_Chr1v1_03069,SCA-6_Chr1v1_03069,23.4,8.3,38.6,4.97,2.3,0.8,2.87,4.1e-03,1.0e+00,0.6073,45,15.3,13.9,0,10.9,6.6,3.2,29.6,94,28,11.4,35.3,33.1
SCA-6_Chr1v1_03504,PP147,5.7,2.9,8.5,34.294,5.1,1.77,2.87,4.0e-03,1.0e+00,0.6073,46,0,0,0,0,0,17.1,16.7,6,18.7,3.8,1.6,4.1
SCA-6_Chr10v1_27096,CFI,65.6,42.7,88.4,2.536,1.3,0.46,2.91,3.6e-03,1.0e+00,0.6073,46,34.2,26.9,77.2,14,79.4,24.6,66.9,54.2,153.3,78.7,98.9,78.5
SCA-6_Chr2v1_04826,3HID2,11.2,18.9,3.6,0.043,-4.5,1.52,-2.98,2.9e-03,1.0e+00,0.6073,47,7.1,23.9,37.4,20.2,24.6,0,0,2.4,0,0,1.6,17.8
SCA-6_Chr2v1_05381,PER2,12.7,4.7,20.6,31.722,5,1.69,2.95,3.2e-03,1.0e+00,0.6073,47,1.2,0,18.7,0,8.5,0,27,68.7,0,9.5,18.7,0
SCA-6_Chr2v1_05385,P2C71,46.5,65.7,27.2,0.408,-1.3,0.44,-2.92,3.5e-03,1.0e+00,0.6073,48,67.2,77.7,50.3,94.6,47.2,57.2,24.5,39.8,20,22.8,38.5,17.8
SCA-6_Chr2v1_05428,MSSP2,77,106.8,47.1,0.446,-1.2,0.4,-2.91,3.6e-03,1.0e+00,0.6073,49,163.8,102.6,54.9,91.5,118.1,110.1,48.9,32.5,56,53.1,52.9,39.2
SCA-6_Chr2v1_05615,Y3210,32.4,15.6,49.2,5.72,2.5,0.87,2.88,4.0e-03,1.0e+00,0.6073,49,10.6,1,11.7,58.9,11.3,0,47.6,31.3,115.9,66.4,18.7,15.3
SCA-6_Chr2v1_06178,KCS6,132.9,184.5,81.4,0.446,-1.2,0.4,-2.91,3.6e-03,1.0e+00,0.6073,50,153.2,230.1,211.6,105.4,274,132.5,55.3,133.8,64,67.3,105.3,62.7
SCA-6_Chr2v1_06873,SETD3,16.4,26.4,6.4,0.088,-3.5,1.2,-2.93,3.4e-03,1.0e+00,0.6073,50,0,20.9,22.2,20.2,18.9,75.9,0,0,0,6.6,9.1,22.9
SCA-6_Chr3v1_08170,SCA-6_Chr3v1_08170,62.8,76.7,48.9,0.415,-1.3,0.43,-2.97,3.0e-03,1.0e+00,0.6073,51,53,64.8,54.9,80.6,34,173.1,12.9,41,10.7,40.8,71.1,116.7
SCA-6_Chr3v1_09209,HSP83,813.8,423.9,1203.8,2.345,1.2,0.42,2.92,3.5e-03,1.0e+00,0.6073,52,394.7,392.5,404.5,516.2,407.2,428,617.8,837.9,1359.4,517.9,552.6,3337.3
SCA-6_Chr3v1_10302,SCA-6_Chr3v1_10302,256.8,398.4,115.1,0.3,-1.7,0.6,-2.9,3.7e-03,1.0e+00,0.6073,52,51.8,58.8,217.4,63.6,746.3,1252.5,25.7,57.9,72,76.8,171.6,286.9
SCA-6_Chr3v1_10411,SCAM4,222.3,281.3,163.2,0.576,-0.8,0.28,-2.89,3.9e-03,1.0e+00,0.6073,53,286.3,317.8,219.8,306.9,278.7,278.4,181.5,129,123.9,224.8,174.2,145.7
SCA-6_Chr4v1_10634,SAMH1,22.4,9.6,35.3,6.294,2.7,0.9,2.94,3.3e-03,1.0e+00,0.6073,53,3.5,20.9,10.5,18.6,3.8,0,23.2,41,85.3,11.4,39.5,11.2
SCA-6_Chr4v1_11690,FULL,28.3,11.2,45.3,4.766,2.3,0.77,2.93,3.4e-03,1.0e+00,0.6073,54,30.6,7,1.2,17.1,9.4,2.1,100.4,35,37.3,18,34.7,46.4
SCA-6_Chr4v1_11763,SCA-6_Chr4v1_11763,22.2,10.2,34.1,6.248,2.6,0.89,2.98,2.9e-03,1.0e+00,0.6073,55,4.7,4,11.7,38.8,1.9,0,55.3,49.4,48,21.8,17.6,12.7
SCA-6_Chr4v1_12003,TCP1,26.7,6.3,47.2,10.754,3.4,1.16,2.96,3.0e-03,1.0e+00,0.6073,55,1.2,0,0,20.2,0,16.6,130,50.6,26.7,32.3,11.8,31.6
SCA-6_Chr4v1_13201,SCA-6_Chr4v1_13201,8.4,3,13.7,14.836,3.9,1.35,2.89,3.9e-03,1.0e+00,0.6073,56,14.1,0,0,0,3.8,0,20.6,9.6,34.7,7.6,4.8,5.1
SCA-6_Chr5v1_13838,CRPK1,10.5,5.1,15.8,19.481,4.3,1.45,2.96,3.1e-03,1.0e+00,0.6073,56,14.1,0,7,0,9.4,0,16.7,16.9,0,23.7,8,29.6
SCA-6_Chr5v1_16265,EIX2,10.9,16,5.8,0.045,-4.5,1.53,-2.92,3.5e-03,1.0e+00,0.6073,57,2.4,16.9,29.2,24.8,22.7,0,0,0,0,1.9,10.2,22.4
SCA-6_Chr6v1_17741,MIOX1,40.6,64.7,16.5,0.274,-1.9,0.63,-2.96,3.0e-03,1.0e+00,0.6073,58,31.8,19.9,83,26.4,28.3,198.8,21.9,8.4,5.3,15.2,11.8,36.2
SCA-6_Chr6v1_18233,CB22,2727.7,3568,1887.4,0.43,-1.2,0.42,-2.9,3.7e-03,1.0e+00,0.6073,58,1326.7,3103.4,5668.6,996.7,4211.5,6101.2,782.5,837.9,1661.9,1204.6,1912.2,4925.4
SCA-6_Chr6v1_18534,SCA-6_Chr6v1_18534,127.6,188.2,67,0.424,-1.2,0.42,-2.91,3.6e-03,1.0e+00,0.6073,59,275.7,171.4,303.9,162.8,160.6,55,92.7,84.4,45.3,43.6,64.1,71.8
SCA-6_Chr8v1_21846,VPS9A,83.2,42.1,124.3,2.82,1.5,0.51,2.96,3.1e-03,1.0e+00,0.6073,60,53,53.8,32.7,4.7,39.7,68.9,149.3,92.8,73.3,118.6,192.9,119.2
SCA-6_Chr9v1_23446,CFIS1,20.1,32.7,7.5,0.189,-2.4,0.84,-2.87,4.1e-03,1.0e+00,0.6073,60,54.2,55.8,28.1,18.6,26.5,12.8,1.3,20.5,1.3,3.8,4.8,13.2
SCA-6_Chr9v1_23487,A70,37.5,13.9,61.1,7,2.8,0.96,2.91,3.6e-03,1.0e+00,0.6073,61,34.2,8,7,34.1,0,0,96.5,84.4,111.9,13.3,42.8,17.8
SCA-6_Chr9v1_23823,RACD,15.2,24.5,5.9,0.135,-2.9,1,-2.88,4.0e-03,1.0e+00,0.6073,61,28.3,4,15.2,14,50.1,35.3,1.3,0,0,4.7,11.2,18.3
SCA-6_Chr10v1_27788,RH35,78.2,50.9,105.4,3.93,2,0.69,2.87,4.2e-03,1.0e+00,0.6136,63,43.6,81.7,32.7,128.7,18.9,0,81.1,159.1,203.9,86.3,34.2,67.8
SCA-6_Chr6v1_18676,ABKC,8.9,14.5,3.3,0.107,-3.2,1.13,-2.86,4.2e-03,1.0e+00,0.6153,63,14.1,21.9,9.4,15.5,7.6,18.7,0,4.8,0,0.9,12.3,2
SCA-6_Chr1v1_01823,KASM,75.4,102.6,48.2,0.233,-2.1,0.74,-2.85,4.4e-03,1.0e+00,0.6155,64,14.1,104.6,79.5,29.5,130.4,257.6,7.7,22.9,0,61.7,88.7,108
SCA-6_Chr4v1_12268,CHI5,141.1,43.3,238.9,4.991,2.3,0.81,2.85,4.3e-03,1.0e+00,0.6155,65,86,133.5,17.5,10.9,10.4,1.6,191.8,1160.9,45.3,18,12.3,5.1
SCA-6_Chr5v1_16753,LTI6A,8.9,15.4,2.5,0.028,-5.2,1.81,-2.85,4.3e-03,1.0e+00,0.6155,65,7.1,13,32.7,0,39.7,0,0,0,0,0,10.2,4.6
SCA-6_Chr6v1_18438,SCA-6_Chr6v1_18438,6.2,11.9,0.6,0.03,-5.1,1.78,-2.85,4.4e-03,1.0e+00,0.6155,66,0,11,23.4,9.3,9.4,18.2,0,0,0,0,3.7,0
SCA-6_Chr9v1_23454,SCA-6_Chr9v1_23454,86.1,112.2,60.1,0.357,-1.5,0.52,-2.84,4.5e-03,1.0e+00,0.6221,67,40.1,107.6,107.6,43.4,152.1,222.3,10.3,38.6,33.3,31.3,70,176.8
SCA-6_Chr1v1_00609,SKIP2,98.9,63.6,134.1,2.294,1.2,0.42,2.83,4.6e-03,1.0e+00,0.6242,68,54.2,65.8,77.2,31,103.9,49.7,130,202.5,225.2,64.5,89.8,92.7
SCA-6_Chr1v1_01990,PEX13,19.1,31.1,7.1,0.131,-2.9,1.04,-2.83,4.7e-03,1.0e+00,0.6242,69,29.5,24.9,5.8,66.7,20.8,39,1.3,9.6,0,8.5,0,23.4
SCA-6_Chr3v1_08228,BTSL2,35.8,54.1,17.6,0.296,-1.8,0.62,-2.83,4.7e-03,1.0e+00,0.6242,69,87.2,36.9,47.9,96.1,12.3,44.4,5.1,26.5,13.3,25.6,14.4,20.4
SCA-6_Chr6v1_18658,SCA-6_Chr6v1_18658,31.6,15.9,47.4,4.778,2.3,0.8,2.83,4.7e-03,1.0e+00,0.6242,70,37.7,6,9.4,35.7,6.6,0,88.8,44.6,74.6,40.8,8.6,27
SCA-6_Chr7v1_20696,SCA-6_Chr7v1_20696,10.1,2.8,17.4,11.53,3.5,1.24,2.83,4.6e-03,1.0e+00,0.6242,71,3.5,0,5.8,0,7.6,0,33.5,28.9,38.6,2.8,0.5,0
SCA-6_Chr1v1_01845,ESS2,149.5,120.7,178.2,1.932,0.9,0.34,2.8,5.1e-03,1.0e+00,0.6498,74,234.5,120.5,116.9,113.2,119,20.3,329.5,166.4,271.9,166,65.7,69.8
SCA-6_Chr1v1_03127,PP285,8.3,2.2,14.3,11.072,3.5,1.24,2.81,5.0e-03,1.0e+00,0.6498,75,0,2,9.4,0,1.9,0,18,6,24,18,12.3,7.6
SCA-6_Chr2v1_06688,SAT,6.4,0,12.8,70.457,6.1,2.19,2.8,5.1e-03,1.0e+00,0.6498,75,0,0,0,0,0,0,46.3,21.7,0,0,7.5,1.5
SCA-6_Chr2v1_07106,TTM2,29.7,41.5,18,0.186,-2.4,0.86,-2.81,4.9e-03,1.0e+00,0.6498,76,46,19.9,12.9,94.6,26.5,49.2,0,19.3,0,36,15.5,37.2
SCA-6_Chr3v1_08360,ZFR2,8.1,1.2,15,24.364,4.6,1.65,2.8,5.1e-03,1.0e+00,0.6498,77,1.2,6,0,0,0,0,7.7,15.7,41.3,0,8.6,16.8
SCA-6_Chr6v1_17048,DRL40,5.4,0.5,10.4,67.719,6.1,2.17,2.8,5.1e-03,1.0e+00,0.6498,77,0,3,0,0,0,0,24.5,0,22.7,2.8,12.3,0
SCA-6_Chr2v1_05399,KDM1A,27.1,39.2,14.8,0.125,-3,1.07,-2.79,5.3e-03,1.0e+00,0.6599,79,15.3,47.8,53.8,43.4,58.6,16.6,0,0,0,23.7,37.9,27.5
SCA-6_Chr4v1_13386,UXS2,9.9,15.6,4.2,0.036,-4.8,1.72,-2.79,5.3e-03,1.0e+00,0.6599,80,0,8,58.5,0,13.2,13.9,0,0,0,0,9.6,15.3
